"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","session","startTime","attn_word","button_pressed","view_history","animation_sequence","condition","time_sequence","stim_type","direction","correct","init_locations","moves","final_locations","sort_correct","finalLocations","responses"
"2847","welcome","32","html-keyboard-response","0","2871","0.0-0.0","1","2020-1-6 12:36:20","ELEPHANT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6636","consent",NA,"html-button-response","1","9513","0.0-1.0","1","2020-1-6 12:36:20","ELEPHANT","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188918","instructions",NA,"instructions","2","198433","0.0-2.0","1","2020-1-6 12:36:20","ELEPHANT",NA,"[{""page_index"":0,""viewing_time"":12297},{""page_index"":1,""viewing_time"":123923},{""page_index"":2,""viewing_time"":10039},{""page_index"":3,""viewing_time"":7319},{""page_index"":4,""viewing_time"":5811},{""page_index"":5,""viewing_time"":23957},{""page_index"":6,""viewing_time"":5571}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20025","setup5",NA,"animation","3","218461","0.0-3.0-0.0","1","2020-1-6 12:36:20","ELEPHANT",NA,NA,"[{""cat"":27,""src"":18,""loc"":2},{""cat"":18,""src"":11,""loc"":6},{""cat"":6,""src"":9,""loc"":4},{""cat"":6,""src"":0,""loc"":0},{""cat"":18,""src"":3,""loc"":5},{""cat"":27,""src"":14,""loc"":8},{""cat"":6,""src"":19,""loc"":7},{""cat"":27,""src"":1,""loc"":3},{""cat"":18,""src"":19,""loc"":1}]","5","1119,1119,1103,1114,1115,1128,1103,1103,1109,10011",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9844","flanker_instructions","32","html-keyboard-response","4","228310","0.0-3.0-1.0","1","2020-1-6 12:36:20","ELEPHANT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","5","230218","0.0-3.0-2.0-0.0","1","2020-1-6 12:36:20","ELEPHANT",NA,NA,NA,NA,NA,"congruent","left","FALSE",NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","6","231544","0.0-3.0-2.0-0.1","1","2020-1-6 12:36:20","ELEPHANT",NA,NA,NA,NA,NA,"incongruent","right","FALSE",NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","7","233107","0.0-3.0-2.0-0.2","1","2020-1-6 12:36:20","ELEPHANT",NA,NA,NA,NA,NA,"incongruent","left","FALSE",NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","8","234695","0.0-3.0-2.0-0.3","1","2020-1-6 12:36:20","ELEPHANT",NA,NA,NA,NA,NA,"congruent","right","FALSE",NA,NA,NA,NA,NA,NA
"30385","sort_trial",NA,"free-sort","9","265913","0.0-3.0-3.0","1","2020-1-6 12:36:20","ELEPHANT",NA,NA,NA,NA,NA,NA,NA,NA,"[{""cat"":27,""src"":18,""x"":37,""y"":503},{""cat"":18,""src"":11,""x"":59,""y"":73},{""cat"":6,""src"":9,""x"":76,""y"":4},{""cat"":6,""src"":0,""x"":76,""y"":202},{""cat"":18,""src"":3,""x"":9,""y"":316},{""cat"":27,""src"":14,""x"":6,""y"":381},{""cat"":6,""src"":19,""x"":61,""y"":254},{""cat"":27,""src"":1,""x"":48,""y"":433},{""cat"":18,""src"":19,""x"":60,""y"":132}]","[{""cat"":""18"",""src"":""19"",""x"":0,""y"":0},{""cat"":""6"",""src"":""0"",""x"":0,""y"":0},{""cat"":""6"",""src"":""19"",""x"":0,""y"":0},{""cat"":""27"",""src"":""14"",""x"":0,""y"":0},{""cat"":""18"",""src"":""3"",""x"":0,""y"":0},{""cat"":""27"",""src"":""1"",""x"":630,""y"":171},{""cat"":""27"",""src"":""1"",""x"":640,""y"":124},{""cat"":""27"",""src"":""1"",""x"":0,""y"":0},{""cat"":""27"",""src"":""18"",""x"":0,""y"":0},{""cat"":""6"",""src"":""9"",""x"":0,""y"":0},{""cat"":""18"",""src"":""11"",""x"":0,""y"":0}]","[{""cat"":18,""src"":19,""loc"":0},{""cat"":6,""src"":0,""loc"":1},{""cat"":6,""src"":19,""loc"":2},{""cat"":27,""src"":14,""loc"":8},{""cat"":18,""src"":3,""loc"":6},{""cat"":27,""src"":1,""loc"":3},{""cat"":27,""src"":18,""loc"":4},{""cat"":6,""src"":9,""loc"":5},{""cat"":18,""src"":11,""loc"":7}]","2","18,6,6,27,27,6,18,18,27,19,0,19,1,18,9,3,11,14,0,1,2,3,4,5,6,7,8,0,1,2,5,6,7,4,8,3",NA
"5574","sort_feedback","32","html-keyboard-response","10","271491","0.0-3.0-4.0","1","2020-1-6 12:36:20","ELEPHANT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20001","setup5",NA,"animation","11","291495","0.0-3.0-5.0","1","2020-1-6 12:36:20","ELEPHANT",NA,NA,"[{""cat"":30,""src"":0,""loc"":8},{""cat"":31,""src"":11,""loc"":5},{""cat"":13,""src"":11,""loc"":0},{""cat"":13,""src"":17,""loc"":3},{""cat"":31,""src"":19,""loc"":7},{""cat"":30,""src"":1,""loc"":2},{""cat"":13,""src"":1,""loc"":6},{""cat"":30,""src"":9,""loc"":4},{""cat"":31,""src"":7,""loc"":1}]","5","1106,1103,1105,1104,1107,1108,1128,1105,1117,10018",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4776","flanker_instructions","37","html-keyboard-response","12","296280","0.0-3.0-6.0","1","2020-1-6 12:36:20","ELEPHANT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","13","298204","0.0-3.0-7.0-0.0","1","2020-1-6 12:36:20","ELEPHANT",NA,NA,NA,NA,NA,"incongruent","left","FALSE",NA,NA,NA,NA,NA,NA
"589","flanker_test","37","image-keyboard-response","14","299382","0.0-3.0-7.0-0.1","1","2020-1-6 12:36:20","ELEPHANT",NA,NA,NA,NA,NA,"congruent","left","TRUE",NA,NA,NA,NA,NA,NA
"618","flanker_test","39","image-keyboard-response","15","300718","0.0-3.0-7.0-0.2","1","2020-1-6 12:36:20","ELEPHANT",NA,NA,NA,NA,NA,"congruent","right","TRUE",NA,NA,NA,NA,NA,NA
"818","flanker_test","37","image-keyboard-response","16","302548","0.0-3.0-7.0-0.3","1","2020-1-6 12:36:20","ELEPHANT",NA,NA,NA,NA,NA,"incongruent","right","FALSE",NA,NA,NA,NA,NA,NA
"39717","sort_trial",NA,"free-sort","17","343359","0.0-3.0-8.0","1","2020-1-6 12:36:20","ELEPHANT",NA,NA,NA,NA,NA,NA,NA,NA,"[{""cat"":30,""src"":0,""x"":74,""y"":79},{""cat"":31,""src"":11,""x"":34,""y"":24},{""cat"":13,""src"":11,""x"":34,""y"":426},{""cat"":13,""src"":17,""x"":55,""y"":381},{""cat"":31,""src"":19,""x"":50,""y"":313},{""cat"":30,""src"":1,""x"":43,""y"":484},{""cat"":13,""src"":1,""x"":73,""y"":188},{""cat"":30,""src"":9,""x"":13,""y"":147},{""cat"":31,""src"":7,""x"":12,""y"":262}]","[{""cat"":""30"",""src"":""0"",""x"":0,""y"":0},{""cat"":""30"",""src"":""9"",""x"":0,""y"":0},{""cat"":""31"",""src"":""11"",""x"":0,""y"":0},{""cat"":""30"",""src"":""1"",""x"":0,""y"":0},{""cat"":""13"",""src"":""1"",""x"":0,""y"":0},{""cat"":""31"",""src"":""19"",""x"":0,""y"":0},{""cat"":""13"",""src"":""17"",""x"":0,""y"":0},{""cat"":""31"",""src"":""7"",""x"":0,""y"":0},{""cat"":""13"",""src"":""11"",""x"":0,""y"":0}]","[{""cat"":30,""src"":0,""loc"":6},{""cat"":30,""src"":9,""loc"":3},{""cat"":31,""src"":11,""loc"":5},{""cat"":30,""src"":1,""loc"":8},{""cat"":13,""src"":1,""loc"":7},{""cat"":31,""src"":19,""loc"":0},{""cat"":13,""src"":17,""loc"":2},{""cat"":31,""src"":7,""loc"":1},{""cat"":13,""src"":11,""loc"":4}]","2","31,31,13,30,13,31,30,13,30,19,7,17,9,11,11,0,1,1,0,1,2,3,4,5,6,7,8,5,7,6,1,8,2,0,4,3",NA
"3586","sort_feedback","32","html-keyboard-response","18","346949","0.0-3.0-9.0","1","2020-1-6 12:36:20","ELEPHANT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16854","finalInstructions",NA,"html-button-response","19","363805","0.0-4.0-0.0","1","2020-1-6 12:36:20","ELEPHANT","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20033","setup4",NA,"animation","20","383842","0.0-4.0-1.0","1","2020-1-6 12:36:20","ELEPHANT",NA,NA,"[{""cat"":12,""src"":0,""loc"":3},{""cat"":12,""src"":13,""loc"":2},{""cat"":12,""src"":7,""loc"":8},{""cat"":24,""src"":8,""loc"":0},{""cat"":24,""src"":6,""loc"":7},{""cat"":24,""src"":12,""loc"":4},{""cat"":3,""src"":10,""loc"":1},{""cat"":3,""src"":6,""loc"":5},{""cat"":3,""src"":14,""loc"":6}]","4","1113,1117,1117,1117,1116,1115,1103,1114,1115,10006",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2163","flanker_instructions","37","html-keyboard-response","21","386009","0.0-4.0-2.0","1","2020-1-6 12:36:20","ELEPHANT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","22","387946","0.0-4.0-3.0-0.0","1","2020-1-6 12:36:20","ELEPHANT",NA,NA,NA,NA,NA,"incongruent","left","FALSE",NA,NA,NA,NA,NA,NA
"711","flanker_test","37","image-keyboard-response","23","389715","0.0-4.0-3.0-0.1","1","2020-1-6 12:36:20","ELEPHANT",NA,NA,NA,NA,NA,"incongruent","right","FALSE",NA,NA,NA,NA,NA,NA
"685","flanker_test","37","image-keyboard-response","24","391063","0.0-4.0-3.0-0.2","1","2020-1-6 12:36:20","ELEPHANT",NA,NA,NA,NA,NA,"congruent","left","TRUE",NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","25","392686","0.0-4.0-3.0-0.3","1","2020-1-6 12:36:20","ELEPHANT",NA,NA,NA,NA,NA,"congruent","right","FALSE",NA,NA,NA,NA,NA,NA
