"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","session","startTime","attn_word","button_pressed","view_history","animation_sequence","condition","time_sequence","stim_type","direction","correct","init_locations","moves","final_locations","sort_correct","finalLocations","responses"
"9960","welcome","74","html-keyboard-response","0","9980","0.0-0.0","1","2020-1-6 21:11:2","OTTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104128","consent",NA,"html-button-response","1","114118","0.0-1.0","1","2020-1-6 21:11:2","OTTER","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99849","instructions",NA,"instructions","2","213971","0.0-2.0","1","2020-1-6 21:11:2","OTTER",NA,"[{""page_index"":0,""viewing_time"":66487},{""page_index"":1,""viewing_time"":2095},{""page_index"":2,""viewing_time"":6059},{""page_index"":3,""viewing_time"":9088},{""page_index"":4,""viewing_time"":2535},{""page_index"":5,""viewing_time"":6862},{""page_index"":6,""viewing_time"":6722}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19971","setup5",NA,"animation","3","233946","0.0-3.0-0.0","1","2020-1-6 21:11:2","OTTER",NA,NA,"[{""cat"":20,""src"":13,""loc"":6},{""cat"":10,""src"":1,""loc"":5},{""cat"":7,""src"":0,""loc"":1},{""cat"":20,""src"":1,""loc"":2},{""cat"":7,""src"":12,""loc"":4},{""cat"":10,""src"":8,""loc"":7},{""cat"":10,""src"":4,""loc"":0},{""cat"":20,""src"":9,""loc"":3},{""cat"":7,""src"":5,""loc"":8}]","5","1113,1107,1105,1105,1108,1103,1107,1107,1110,10005",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12618","flanker_instructions","39","html-keyboard-response","4","246578","0.0-3.0-1.0","1","2020-1-6 21:11:2","OTTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"561","flanker_test","39","image-keyboard-response","5","248159","0.0-3.0-2.0-0.0","1","2020-1-6 21:11:2","OTTER",NA,NA,NA,NA,NA,"congruent","right","TRUE",NA,NA,NA,NA,NA,NA
"529","flanker_test","37","image-keyboard-response","6","249206","0.0-3.0-2.0-0.1","1","2020-1-6 21:11:2","OTTER",NA,NA,NA,NA,NA,"incongruent","left","TRUE",NA,NA,NA,NA,NA,NA
"606","flanker_test","39","image-keyboard-response","7","250942","0.0-3.0-2.0-0.2","1","2020-1-6 21:11:2","OTTER",NA,NA,NA,NA,NA,"incongruent","right","TRUE",NA,NA,NA,NA,NA,NA
"565","flanker_test","37","image-keyboard-response","8","252026","0.0-3.0-2.0-0.3","1","2020-1-6 21:11:2","OTTER",NA,NA,NA,NA,NA,"congruent","left","TRUE",NA,NA,NA,NA,NA,NA
"39266","sort_trial",NA,"free-sort","9","291825","0.0-3.0-3.0","1","2020-1-6 21:11:2","OTTER",NA,NA,NA,NA,NA,NA,NA,NA,"[{""cat"":20,""src"":13,""x"":45,""y"":182},{""cat"":10,""src"":1,""x"":59,""y"":243},{""cat"":7,""src"":0,""x"":29,""y"":497},{""cat"":20,""src"":1,""x"":24,""y"":28},{""cat"":7,""src"":12,""x"":68,""y"":368},{""cat"":10,""src"":8,""x"":32,""y"":60},{""cat"":10,""src"":4,""x"":46,""y"":125},{""cat"":20,""src"":9,""x"":22,""y"":423},{""cat"":7,""src"":5,""x"":65,""y"":328}]","[{""cat"":""10"",""src"":""8"",""x"":0,""y"":0},{""cat"":""20"",""src"":""13"",""x"":0,""y"":0},{""cat"":""7"",""src"":""5"",""x"":0,""y"":0},{""cat"":""7"",""src"":""12"",""x"":0,""y"":0},{""cat"":""10"",""src"":""4"",""x"":0,""y"":0},{""cat"":""20"",""src"":""9"",""x"":0,""y"":0},{""cat"":""20"",""src"":""1"",""x"":0,""y"":0},{""cat"":""10"",""src"":""1"",""x"":0,""y"":0},{""cat"":""7"",""src"":""0"",""x"":0,""y"":0}]","[{""cat"":10,""src"":8,""loc"":7},{""cat"":20,""src"":13,""loc"":6},{""cat"":7,""src"":5,""loc"":8},{""cat"":7,""src"":12,""loc"":3},{""cat"":10,""src"":4,""loc"":0},{""cat"":20,""src"":9,""loc"":4},{""cat"":20,""src"":1,""loc"":1},{""cat"":10,""src"":1,""loc"":2},{""cat"":7,""src"":0,""loc"":5}]","4","10,20,10,7,20,7,20,10,7,4,1,1,12,9,0,13,8,5,0,1,2,3,4,5,6,7,8,4,6,7,3,5,8,1,0,2",NA
