"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","session","startTime","attn_word","button_pressed","view_history","animation_sequence","condition","time_sequence","stim_type","direction","correct","init_locations","moves","final_locations","sort_correct","finalLocations","responses"
"7979","welcome","32","html-keyboard-response","0","7991","0.0-0.0","1","2020-1-7 7:28:37","FISH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21032","consent",NA,"html-button-response","1","29027","0.0-1.0","1","2020-1-7 7:28:37","FISH","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1363396","instructions",NA,"instructions","2","1392426","0.0-2.0","1","2020-1-7 7:28:37","FISH",NA,"[{""page_index"":0,""viewing_time"":22500},{""page_index"":1,""viewing_time"":12734},{""page_index"":2,""viewing_time"":3974},{""page_index"":1,""viewing_time"":63361},{""page_index"":2,""viewing_time"":1200859},{""page_index"":3,""viewing_time"":20907},{""page_index"":4,""viewing_time"":12618},{""page_index"":5,""viewing_time"":21798},{""page_index"":6,""viewing_time"":4644}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19964","setup5",NA,"animation","3","1412397","0.0-3.0-0.0","1","2020-1-7 7:28:37","FISH",NA,NA,"[{""cat"":18,""src"":5,""loc"":4},{""cat"":16,""src"":17,""loc"":7},{""cat"":20,""src"":2,""loc"":1},{""cat"":16,""src"":9,""loc"":2},{""cat"":18,""src"":8,""loc"":6},{""cat"":20,""src"":3,""loc"":5},{""cat"":18,""src"":11,""loc"":0},{""cat"":20,""src"":11,""loc"":8},{""cat"":16,""src"":16,""loc"":3}]","5","1112,1106,1108,1105,1106,1104,1107,1103,1108,10003",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31474","flanker_instructions","32","html-keyboard-response","4","1443877","0.0-3.0-1.0","1","2020-1-7 7:28:37","FISH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","5","1445800","0.0-3.0-2.0-0.0","1","2020-1-7 7:28:37","FISH",NA,NA,NA,NA,NA,"congruent","left","FALSE",NA,NA,NA,NA,NA,NA
"814","flanker_test","39","image-keyboard-response","6","1447814","0.0-3.0-2.0-0.1","1","2020-1-7 7:28:37","FISH",NA,NA,NA,NA,NA,"incongruent","right","TRUE",NA,NA,NA,NA,NA,NA
"737","flanker_test","37","image-keyboard-response","7","1449595","0.0-3.0-2.0-0.2","1","2020-1-7 7:28:37","FISH",NA,NA,NA,NA,NA,"incongruent","left","TRUE",NA,NA,NA,NA,NA,NA
"563","flanker_test","39","image-keyboard-response","8","1451122","0.0-3.0-2.0-0.3","1","2020-1-7 7:28:37","FISH",NA,NA,NA,NA,NA,"congruent","right","TRUE",NA,NA,NA,NA,NA,NA
"47504","sort_trial",NA,"free-sort","9","1499380","0.0-3.0-3.0","1","2020-1-7 7:28:37","FISH",NA,NA,NA,NA,NA,NA,NA,NA,"[{""cat"":18,""src"":5,""x"":58,""y"":13},{""cat"":16,""src"":17,""x"":48,""y"":134},{""cat"":20,""src"":2,""x"":7,""y"":189},{""cat"":16,""src"":9,""x"":75,""y"":440},{""cat"":18,""src"":8,""x"":22,""y"":491},{""cat"":20,""src"":3,""x"":57,""y"":240},{""cat"":18,""src"":11,""x"":48,""y"":367},{""cat"":20,""src"":11,""x"":23,""y"":310},{""cat"":16,""src"":16,""x"":48,""y"":67}]","[{""cat"":""20"",""src"":""11"",""x"":0,""y"":0},{""cat"":""18"",""src"":""5"",""x"":0,""y"":0},{""cat"":""18"",""src"":""8"",""x"":0,""y"":0},{""cat"":""16"",""src"":""9"",""x"":0,""y"":0},{""cat"":""20"",""src"":""3"",""x"":0,""y"":0},{""cat"":""16"",""src"":""17"",""x"":0,""y"":0},{""cat"":""16"",""src"":""16"",""x"":0,""y"":0},{""cat"":""18"",""src"":""11"",""x"":0,""y"":0},{""cat"":""20"",""src"":""2"",""x"":0,""y"":0}]","[{""cat"":20,""src"":11,""loc"":8},{""cat"":18,""src"":5,""loc"":5},{""cat"":18,""src"":8,""loc"":7},{""cat"":16,""src"":9,""loc"":6},{""cat"":20,""src"":3,""loc"":0},{""cat"":16,""src"":17,""loc"":2},{""cat"":16,""src"":16,""loc"":3},{""cat"":18,""src"":11,""loc"":1},{""cat"":20,""src"":2,""loc"":4}]","2","20,18,16,16,20,18,16,18,20,3,11,17,16,2,5,9,8,11,0,1,2,3,4,5,6,7,8,4,7,5,6,8,1,3,2,0",NA
