"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","session","startTime","attn_word","button_pressed","view_history","animation_sequence","condition","time_sequence","stim_type","direction","correct","init_locations","moves","final_locations","sort_correct","finalLocations","responses"
"7508","welcome","32","html-keyboard-response","0","7523","0.0-0.0","1","2020-1-6 9:5:43","SHEEP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314014","consent",NA,"html-button-response","1","321552","0.0-1.0","1","2020-1-6 9:5:43","SHEEP","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82711","instructions",NA,"instructions","2","404268","0.0-2.0","1","2020-1-6 9:5:43","SHEEP",NA,"[{""page_index"":0,""viewing_time"":9159},{""page_index"":1,""viewing_time"":7366},{""page_index"":2,""viewing_time"":7271},{""page_index"":3,""viewing_time"":29933},{""page_index"":4,""viewing_time"":6364},{""page_index"":5,""viewing_time"":17642},{""page_index"":6,""viewing_time"":4974}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19943","setup5",NA,"animation","3","424218","0.0-3.0-0.0","1","2020-1-6 9:5:43","SHEEP",NA,NA,"[{""cat"":8,""src"":12,""loc"":5},{""cat"":17,""src"":15,""loc"":7},{""cat"":20,""src"":6,""loc"":1},{""cat"":8,""src"":0,""loc"":2},{""cat"":20,""src"":8,""loc"":8},{""cat"":17,""src"":1,""loc"":3},{""cat"":20,""src"":16,""loc"":4},{""cat"":8,""src"":3,""loc"":6},{""cat"":17,""src"":6,""loc"":0}]","5","1113,1102,1104,1104,1104,1104,1103,1103,1103,10003",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8091","flanker_instructions","32","html-keyboard-response","4","432313","0.0-3.0-1.0","1","2020-1-6 9:5:43","SHEEP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","5","434224","0.0-3.0-2.0-0.0","1","2020-1-6 9:5:43","SHEEP",NA,NA,NA,NA,NA,"incongruent","left","FALSE",NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","6","435566","0.0-3.0-2.0-0.1","1","2020-1-6 9:5:43","SHEEP",NA,NA,NA,NA,NA,"incongruent","right","FALSE",NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","7","437138","0.0-3.0-2.0-0.2","1","2020-1-6 9:5:43","SHEEP",NA,NA,NA,NA,NA,"congruent","right","FALSE",NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","8","438930","0.0-3.0-2.0-0.3","1","2020-1-6 9:5:43","SHEEP",NA,NA,NA,NA,NA,"congruent","left","FALSE",NA,NA,NA,NA,NA,NA
"55489","sort_trial",NA,"free-sort","9","495477","0.0-3.0-3.0","1","2020-1-6 9:5:43","SHEEP",NA,NA,NA,NA,NA,NA,NA,NA,"[{""cat"":8,""src"":12,""x"":59,""y"":371},{""cat"":17,""src"":15,""x"":23,""y"":437},{""cat"":20,""src"":6,""x"":70,""y"":307},{""cat"":8,""src"":0,""x"":28,""y"":180},{""cat"":20,""src"":8,""x"":37,""y"":259},{""cat"":17,""src"":1,""x"":9,""y"":138},{""cat"":20,""src"":16,""x"":32,""y"":25},{""cat"":8,""src"":3,""x"":5,""y"":488},{""cat"":17,""src"":6,""x"":35,""y"":73}]","[{""cat"":""20"",""src"":""8"",""x"":0,""y"":0},{""cat"":""17"",""src"":""15"",""x"":0,""y"":0},{""cat"":""8"",""src"":""12"",""x"":0,""y"":0},{""cat"":""17"",""src"":""6"",""x"":0,""y"":0},{""cat"":""8"",""src"":""0"",""x"":0,""y"":0},{""cat"":""17"",""src"":""1"",""x"":0,""y"":0},{""cat"":""20"",""src"":""16"",""x"":0,""y"":0},{""cat"":""20"",""src"":""6"",""x"":0,""y"":0},{""cat"":""8"",""src"":""3"",""x"":0,""y"":0}]","[{""cat"":20,""src"":8,""loc"":8},{""cat"":17,""src"":15,""loc"":7},{""cat"":8,""src"":12,""loc"":5},{""cat"":17,""src"":6,""loc"":0},{""cat"":8,""src"":0,""loc"":3},{""cat"":17,""src"":1,""loc"":1},{""cat"":20,""src"":16,""loc"":4},{""cat"":20,""src"":6,""loc"":6},{""cat"":8,""src"":3,""loc"":2}]","5","17,17,8,8,20,8,20,17,20,6,1,3,0,16,12,6,15,8,0,1,2,3,4,5,6,7,8,3,5,8,4,6,2,7,1,0",NA
