"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","session","startTime","attn_word","button_pressed","view_history","animation_sequence","condition","time_sequence","stim_type","direction","correct","init_locations","moves","final_locations","sort_correct","finalLocations","responses"
"14432","welcome","32","html-keyboard-response","0","14449","0.0-0.0","1","2020-1-6 14:19:24","MOUSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"551181","consent",NA,"html-button-response","1","565637","0.0-1.0","1","2020-1-6 14:19:24","MOUSE","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95148","instructions",NA,"instructions","2","660791","0.0-2.0","1","2020-1-6 14:19:24","MOUSE",NA,"[{""page_index"":0,""viewing_time"":37439},{""page_index"":1,""viewing_time"":5261},{""page_index"":2,""viewing_time"":7824},{""page_index"":3,""viewing_time"":13795},{""page_index"":4,""viewing_time"":6647},{""page_index"":5,""viewing_time"":20150},{""page_index"":6,""viewing_time"":4031}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19927","setup5",NA,"animation","3","680723","0.0-3.0-0.0","1","2020-1-6 14:19:24","MOUSE",NA,NA,"[{""cat"":31,""src"":8,""loc"":6},{""cat"":27,""src"":17,""loc"":3},{""cat"":25,""src"":5,""loc"":2},{""cat"":25,""src"":2,""loc"":8},{""cat"":27,""src"":9,""loc"":0},{""cat"":31,""src"":19,""loc"":5},{""cat"":27,""src"":2,""loc"":7},{""cat"":31,""src"":14,""loc"":1},{""cat"":25,""src"":8,""loc"":4}]","5","1109,1102,1101,1102,1102,1103,1101,1102,1104,10000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9763","flanker_instructions","32","html-keyboard-response","4","690492","0.0-3.0-1.0","1","2020-1-6 14:19:24","MOUSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","5","692418","0.0-3.0-2.0-0.0","1","2020-1-6 14:19:24","MOUSE",NA,NA,NA,NA,NA,"incongruent","right","FALSE",NA,NA,NA,NA,NA,NA
"643","flanker_test","39","image-keyboard-response","6","693431","0.0-3.0-2.0-0.1","1","2020-1-6 14:19:24","MOUSE",NA,NA,NA,NA,NA,"congruent","right","TRUE",NA,NA,NA,NA,NA,NA
"605","flanker_test","37","image-keyboard-response","7","694489","0.0-3.0-2.0-0.2","1","2020-1-6 14:19:24","MOUSE",NA,NA,NA,NA,NA,"incongruent","left","TRUE",NA,NA,NA,NA,NA,NA
"458","flanker_test","37","image-keyboard-response","8","695720","0.0-3.0-2.0-0.3","1","2020-1-6 14:19:24","MOUSE",NA,NA,NA,NA,NA,"congruent","left","TRUE",NA,NA,NA,NA,NA,NA
"43575","sort_trial",NA,"free-sort","9","740186","0.0-3.0-3.0","1","2020-1-6 14:19:24","MOUSE",NA,NA,NA,NA,NA,NA,NA,NA,"[{""cat"":31,""src"":8,""x"":63,""y"":497},{""cat"":27,""src"":17,""x"":53,""y"":441},{""cat"":25,""src"":5,""x"":29,""y"":316},{""cat"":25,""src"":2,""x"":61,""y"":74},{""cat"":27,""src"":9,""x"":68,""y"":14},{""cat"":31,""src"":19,""x"":66,""y"":252},{""cat"":27,""src"":2,""x"":31,""y"":384},{""cat"":31,""src"":14,""x"":53,""y"":139},{""cat"":25,""src"":8,""x"":59,""y"":201}]","[{""cat"":""25"",""src"":""2"",""x"":0,""y"":0},{""cat"":""27"",""src"":""2"",""x"":0,""y"":0},{""cat"":""25"",""src"":""5"",""x"":0,""y"":0},{""cat"":""27"",""src"":""17"",""x"":0,""y"":0},{""cat"":""31"",""src"":""14"",""x"":0,""y"":0},{""cat"":""31"",""src"":""19"",""x"":0,""y"":0},{""cat"":""31"",""src"":""8"",""x"":741,""y"":165},{""cat"":""31"",""src"":""8"",""x"":0,""y"":0},{""cat"":""25"",""src"":""8"",""x"":0,""y"":0},{""cat"":""27"",""src"":""9"",""x"":0,""y"":0}]","[{""cat"":25,""src"":2,""loc"":8},{""cat"":27,""src"":2,""loc"":7},{""cat"":25,""src"":5,""loc"":2},{""cat"":27,""src"":17,""loc"":1},{""cat"":31,""src"":14,""loc"":0},{""cat"":31,""src"":19,""loc"":3},{""cat"":31,""src"":8,""loc"":4},{""cat"":25,""src"":8,""loc"":5},{""cat"":27,""src"":9,""loc"":6}]","3","31,27,25,31,31,25,27,27,25,14,17,5,19,8,8,9,2,2,0,1,2,3,4,5,6,7,8,4,3,2,5,6,7,8,1,0",NA
"5399","sort_feedback","32","html-keyboard-response","10","745591","0.0-3.0-4.0","1","2020-1-6 14:19:24","MOUSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19921","setup5",NA,"animation","11","765514","0.0-3.0-5.0","1","2020-1-6 14:19:24","MOUSE",NA,NA,"[{""cat"":33,""src"":9,""loc"":5},{""cat"":23,""src"":0,""loc"":1},{""cat"":15,""src"":16,""loc"":8},{""cat"":15,""src"":15,""loc"":4},{""cat"":33,""src"":0,""loc"":2},{""cat"":23,""src"":6,""loc"":7},{""cat"":15,""src"":18,""loc"":0},{""cat"":23,""src"":8,""loc"":3},{""cat"":33,""src"":14,""loc"":6}]","5","1106,1101,1102,1101,1103,1101,1102,1102,1103,10000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2208","flanker_instructions","39","html-keyboard-response","12","767725","0.0-3.0-6.0","1","2020-1-6 14:19:24","MOUSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","13","769630","0.0-3.0-7.0-0.0","1","2020-1-6 14:19:24","MOUSE",NA,NA,NA,NA,NA,"congruent","left","FALSE",NA,NA,NA,NA,NA,NA
"476","flanker_test","39","image-keyboard-response","14","771097","0.0-3.0-7.0-0.1","1","2020-1-6 14:19:24","MOUSE",NA,NA,NA,NA,NA,"congruent","right","TRUE",NA,NA,NA,NA,NA,NA
"568","flanker_test","39","image-keyboard-response","15","772675","0.0-3.0-7.0-0.2","1","2020-1-6 14:19:24","MOUSE",NA,NA,NA,NA,NA,"incongruent","right","TRUE",NA,NA,NA,NA,NA,NA
"631","flanker_test","37","image-keyboard-response","16","774163","0.0-3.0-7.0-0.3","1","2020-1-6 14:19:24","MOUSE",NA,NA,NA,NA,NA,"incongruent","left","TRUE",NA,NA,NA,NA,NA,NA
"32292","sort_trial",NA,"free-sort","17","806815","0.0-3.0-8.0","1","2020-1-6 14:19:24","MOUSE",NA,NA,NA,NA,NA,NA,NA,NA,"[{""cat"":33,""src"":9,""x"":31,""y"":428},{""cat"":23,""src"":0,""x"":74,""y"":250},{""cat"":15,""src"":16,""x"":79,""y"":66},{""cat"":15,""src"":15,""x"":71,""y"":324},{""cat"":33,""src"":0,""x"":65,""y"":145},{""cat"":23,""src"":6,""x"":80,""y"":487},{""cat"":15,""src"":18,""x"":33,""y"":180},{""cat"":23,""src"":8,""x"":14,""y"":5},{""cat"":33,""src"":14,""x"":41,""y"":374}]","[{""cat"":""15"",""src"":""18"",""x"":0,""y"":0},{""cat"":""23"",""src"":""0"",""x"":0,""y"":0},{""cat"":""15"",""src"":""15"",""x"":0,""y"":0},{""cat"":""23"",""src"":""8"",""x"":0,""y"":0},{""cat"":""15"",""src"":""16"",""x"":0,""y"":0},{""cat"":""33"",""src"":""0"",""x"":0,""y"":0},{""cat"":""33"",""src"":""14"",""x"":0,""y"":0},{""cat"":""33"",""src"":""9"",""x"":0,""y"":0},{""cat"":""23"",""src"":""6"",""x"":0,""y"":0}]","[{""cat"":15,""src"":18,""loc"":0},{""cat"":23,""src"":0,""loc"":1},{""cat"":15,""src"":15,""loc"":4},{""cat"":23,""src"":8,""loc"":2},{""cat"":15,""src"":16,""loc"":6},{""cat"":33,""src"":0,""loc"":7},{""cat"":33,""src"":14,""loc"":8},{""cat"":33,""src"":9,""loc"":5},{""cat"":23,""src"":6,""loc"":3}]","4","15,23,23,23,15,33,15,33,33,18,0,8,6,15,9,16,0,14,0,1,2,3,4,5,6,7,8,0,1,3,8,2,7,4,5,6",NA
"3204","sort_feedback","32","html-keyboard-response","18","810022","0.0-3.0-9.0","1","2020-1-6 14:19:24","MOUSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7190","finalInstructions",NA,"html-button-response","19","817215","0.0-4.0-0.0","1","2020-1-6 14:19:24","MOUSE","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
