"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","session","startTime","attn_word","button_pressed","view_history","animation_sequence","condition","time_sequence","stim_type","direction","correct","init_locations","moves","final_locations","sort_correct","finalLocations","responses"
"1794","welcome","32","html-keyboard-response","0","1799","0.0-0.0","1","2020-1-6 23:25:26","LION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3373","consent",NA,"html-button-response","1","5174","0.0-1.0","1","2020-1-6 23:25:26","LION","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7303","instructions",NA,"instructions","2","12479","0.0-2.0","1","2020-1-6 23:25:26","LION",NA,"[{""page_index"":0,""viewing_time"":1607},{""page_index"":1,""viewing_time"":1078},{""page_index"":2,""viewing_time"":971},{""page_index"":3,""viewing_time"":889},{""page_index"":4,""viewing_time"":789},{""page_index"":5,""viewing_time"":858},{""page_index"":6,""viewing_time"":1110}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19948","setup5",NA,"animation","3","32429","0.0-3.0-0.0","1","2020-1-6 23:25:26","LION",NA,NA,"[{""cat"":26,""src"":14,""loc"":1},{""cat"":1,""src"":4,""loc"":3},{""cat"":20,""src"":3,""loc"":8},{""cat"":1,""src"":1,""loc"":2},{""cat"":20,""src"":14,""loc"":4},{""cat"":26,""src"":2,""loc"":7},{""cat"":1,""src"":10,""loc"":6},{""cat"":26,""src"":12,""loc"":5},{""cat"":20,""src"":10,""loc"":0}]","5","1103,1105,1104,1101,1113,1105,1110,1105,1101,10001",NA,NA,NA,NA,NA,NA,NA,NA,NA
"675557","flanker_instructions","32","html-keyboard-response","4","707987","0.0-3.0-1.0","1","2020-1-6 23:25:26","LION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444","flanker_test","39","image-keyboard-response","5","709436","0.0-3.0-2.0-0.0","1","2020-1-6 23:25:26","LION",NA,NA,NA,NA,NA,"congruent","right","TRUE",NA,NA,NA,NA,NA,NA
"392","flanker_test","37","image-keyboard-response","6","710945","0.0-3.0-2.0-0.1","1","2020-1-6 23:25:26","LION",NA,NA,NA,NA,NA,"congruent","left","TRUE",NA,NA,NA,NA,NA,NA
"527","flanker_test","39","image-keyboard-response","7","712504","0.0-3.0-2.0-0.2","1","2020-1-6 23:25:26","LION",NA,NA,NA,NA,NA,"incongruent","right","TRUE",NA,NA,NA,NA,NA,NA
"775","flanker_test","37","image-keyboard-response","8","713855","0.0-3.0-2.0-0.3","1","2020-1-6 23:25:26","LION",NA,NA,NA,NA,NA,"incongruent","left","TRUE",NA,NA,NA,NA,NA,NA
"23589","sort_trial",NA,"free-sort","9","737902","0.0-3.0-3.0","1","2020-1-6 23:25:26","LION",NA,NA,NA,NA,NA,NA,NA,NA,"[{""cat"":26,""src"":14,""x"":59,""y"":121},{""cat"":1,""src"":4,""x"":75,""y"":81},{""cat"":20,""src"":3,""x"":63,""y"":479},{""cat"":1,""src"":1,""x"":15,""y"":3},{""cat"":20,""src"":14,""x"":52,""y"":182},{""cat"":26,""src"":2,""x"":38,""y"":321},{""cat"":1,""src"":10,""x"":39,""y"":265},{""cat"":26,""src"":12,""x"":62,""y"":444},{""cat"":20,""src"":10,""x"":23,""y"":374}]","[{""cat"":""1"",""src"":""1"",""x"":0,""y"":0},{""cat"":""1"",""src"":""4"",""x"":0,""y"":0},{""cat"":""26"",""src"":""14"",""x"":0,""y"":0},{""cat"":""20"",""src"":""10"",""x"":0,""y"":0},{""cat"":""26"",""src"":""2"",""x"":0,""y"":0},{""cat"":""1"",""src"":""10"",""x"":0,""y"":0},{""cat"":""20"",""src"":""14"",""x"":0,""y"":0},{""cat"":""26"",""src"":""12"",""x"":0,""y"":0},{""cat"":""20"",""src"":""3"",""x"":0,""y"":0}]","[{""cat"":1,""src"":1,""loc"":1},{""cat"":1,""src"":4,""loc"":0},{""cat"":26,""src"":14,""loc"":8},{""cat"":20,""src"":10,""loc"":7},{""cat"":26,""src"":2,""loc"":2},{""cat"":1,""src"":10,""loc"":6},{""cat"":20,""src"":14,""loc"":3},{""cat"":26,""src"":12,""loc"":4},{""cat"":20,""src"":3,""loc"":5}]","1","1,1,26,20,26,20,1,20,26,4,1,2,14,12,3,10,10,14,0,1,2,3,4,5,6,7,8,1,0,4,6,7,8,5,3,2",NA
