"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","session","startTime","attn_word","button_pressed","view_history","animation_sequence","condition","time_sequence","stim_type","direction","correct","init_locations","moves","final_locations","sort_correct","finalLocations","responses"
"4176","welcome","13","html-keyboard-response","0","4178","0.0-0.0","1","2020-1-6 11:45:1","ELEPHANT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9597","consent",NA,"html-button-response","1","13777","0.0-1.0","1","2020-1-6 11:45:1","ELEPHANT","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73483","instructions",NA,"instructions","2","87261","0.0-2.0","1","2020-1-6 11:45:1","ELEPHANT",NA,"[{""page_index"":0,""viewing_time"":8560},{""page_index"":1,""viewing_time"":6058},{""page_index"":2,""viewing_time"":18212},{""page_index"":3,""viewing_time"":16192},{""page_index"":4,""viewing_time"":7128},{""page_index"":5,""viewing_time"":14444},{""page_index"":6,""viewing_time"":2888}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19914","setup5",NA,"animation","3","107176","0.0-3.0-0.0","1","2020-1-6 11:45:1","ELEPHANT",NA,NA,"[{""cat"":29,""src"":10,""loc"":6},{""cat"":18,""src"":17,""loc"":3},{""cat"":17,""src"":1,""loc"":0},{""cat"":17,""src"":10,""loc"":4},{""cat"":29,""src"":6,""loc"":2},{""cat"":18,""src"":2,""loc"":7},{""cat"":18,""src"":5,""loc"":1},{""cat"":17,""src"":8,""loc"":8},{""cat"":29,""src"":0,""loc"":5}]","5","1102,1101,1101,1101,1101,1101,1102,1102,1101,10002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16873","flanker_instructions","13","html-keyboard-response","4","124051","0.0-3.0-1.0","1","2020-1-6 11:45:1","ELEPHANT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","5","125953","0.0-3.0-2.0-0.0","1","2020-1-6 11:45:1","ELEPHANT",NA,NA,NA,NA,NA,"congruent","right","FALSE",NA,NA,NA,NA,NA,NA
"596","flanker_test","37","image-keyboard-response","6","127347","0.0-3.0-2.0-0.1","1","2020-1-6 11:45:1","ELEPHANT",NA,NA,NA,NA,NA,"incongruent","left","TRUE",NA,NA,NA,NA,NA,NA
"429","flanker_test","37","image-keyboard-response","7","128403","0.0-3.0-2.0-0.2","1","2020-1-6 11:45:1","ELEPHANT",NA,NA,NA,NA,NA,"congruent","left","TRUE",NA,NA,NA,NA,NA,NA
"686","flanker_test","39","image-keyboard-response","8","130251","0.0-3.0-2.0-0.3","1","2020-1-6 11:45:1","ELEPHANT",NA,NA,NA,NA,NA,"incongruent","right","TRUE",NA,NA,NA,NA,NA,NA
"46994","sort_trial",NA,"free-sort","9","178417","0.0-3.0-3.0","1","2020-1-6 11:45:1","ELEPHANT",NA,NA,NA,NA,NA,NA,NA,NA,"[{""cat"":29,""src"":10,""x"":8,""y"":13},{""cat"":18,""src"":17,""x"":33,""y"":138},{""cat"":17,""src"":1,""x"":62,""y"":491},{""cat"":17,""src"":10,""x"":38,""y"":76},{""cat"":29,""src"":6,""x"":46,""y"":185},{""cat"":18,""src"":2,""x"":22,""y"":428},{""cat"":18,""src"":5,""x"":79,""y"":380},{""cat"":17,""src"":8,""x"":48,""y"":253},{""cat"":29,""src"":0,""x"":23,""y"":300}]","[{""cat"":""29"",""src"":""10"",""x"":0,""y"":0},{""cat"":""17"",""src"":""8"",""x"":0,""y"":0},{""cat"":""17"",""src"":""1"",""x"":0,""y"":0},{""cat"":""17"",""src"":""10"",""x"":0,""y"":0},{""cat"":""29"",""src"":""6"",""x"":0,""y"":0},{""cat"":""29"",""src"":""0"",""x"":0,""y"":0},{""cat"":""18"",""src"":""17"",""x"":0,""y"":0},{""cat"":""18"",""src"":""5"",""x"":0,""y"":0},{""cat"":""18"",""src"":""2"",""x"":22,""y"":428},{""cat"":""18"",""src"":""2"",""x"":0,""y"":0}]","[{""cat"":29,""src"":10,""loc"":4},{""cat"":17,""src"":8,""loc"":8},{""cat"":17,""src"":1,""loc"":0},{""cat"":17,""src"":10,""loc"":1},{""cat"":29,""src"":6,""loc"":5},{""cat"":29,""src"":0,""loc"":3},{""cat"":18,""src"":17,""loc"":7},{""cat"":18,""src"":5,""loc"":6},{""cat"":18,""src"":2,""loc"":2}]","2","17,17,18,29,29,29,18,18,17,1,10,2,0,10,6,5,17,8,0,1,2,3,4,5,6,7,8,2,3,8,5,0,4,7,6,1",NA
