"ID","session","trial","condition","item_correct","room_correct","time_correct","cat_correct","rt","cat_pattern","room_pattern","time_pattern","cat_pattern_norm","room_pattern_norm","time_pattern_norm","k3","k4","k5"
"33","1",7,"SpaceTime",1,1,0.222222222222222,1,79797,0.222222222222222,0.333333333333333,0.133333333333333,0.333333333333333,0.5,0.566666666666667,2,1,4
"33","1",8,"SpaceSem",0.666666666666667,1,0,1,43419,0.666666666666667,0.666666666666667,0.1,1,1,0.55,3,2,3
"33","1",9,"TimeSem",1,1,0,1,40942,0,0.666666666666667,-0.0333333333333333,0,1,0.483333333333333,1,3,1
"33","1",10,"SpaceSemTime",1,1,0.333333333333333,1,35283,0.666666666666667,0.666666666666667,0.45,1,1,0.725,3,2,3
"33","1",11,"TimeSem",1,1,0.222222222222222,1,38448,0.222222222222222,0.333333333333333,0.1,0.333333333333333,0.5,0.55,2,1,4
"33","1",12,"SpaceSemTime",1,1,0,1,44532,0.666666666666667,0.666666666666667,-0.483333333333333,1,1,0.258333333333333,3,2,2
"33","1",13,"SpaceSem",1,1,0.111111111111111,1,45439,0.666666666666667,0.666666666666667,0.2,1,1,0.6,3,2,3
"33","1",14,"Control",1,1,0,1,44236,0,0.666666666666667,0.116666666666667,0,1,0.558333333333333,1,3,1
"33","1",15,"SpaceTime",1,1,0.222222222222222,1,45097,0,0.333333333333333,0.0166666666666667,0,0.5,0.508333333333333,1,3,1
"33","1",16,"SpaceSem",1,1,0.111111111111111,1,45410,0.555555555555556,0.555555555555556,-0.0833333333333333,0.833333333333333,0.833333333333333,0.458333333333333,3,2,2
"33","1",17,"SpaceTime",1,1,0,1,40156,0.222222222222222,0.333333333333333,-0.0166666666666667,0.333333333333333,0.5,0.491666666666667,2,1,4
"33","1",18,"TimeSem",1,1,0,1,42246,0,0.555555555555556,0.2,0,0.833333333333333,0.6,1,3,1
"33","1",19,"SpaceSemTime",1,1,0.111111111111111,1,27021,0.666666666666667,0.666666666666667,0.466666666666667,1,1,0.733333333333333,3,2,3
"33","1",20,"Control",1,1,0,1,31548,0,0.666666666666667,-0.05,0,1,0.475,1,3,1
"33","1",21,"Control",1,1,0.111111111111111,1,28547,0,0.666666666666667,-0.216666666666667,0,1,0.391666666666667,1,3,1
"33","1",22,"SpaceSemTime",1,1,0.111111111111111,1,25333,0.666666666666667,0.666666666666667,0.516666666666667,1,1,0.758333333333333,3,2,3
"33","1",23,"SpaceSem",1,1,0.111111111111111,1,26614,0.666666666666667,0.666666666666667,0.25,1,1,0.625,3,2,3
"33","1",24,"SpaceTime",1,1,0,1,23897,0,0.666666666666667,-0.466666666666667,0,1,0.266666666666667,1,3,1
"33","1",25,"TimeSem",1,1,0.222222222222222,1,25343,0,0.666666666666667,0.133333333333333,0,1,0.566666666666667,1,3,1
"33","1",26,"SpaceSem",1,1,0.222222222222222,1,22320,0.666666666666667,0.666666666666667,-0.0166666666666667,1,1,0.491666666666667,3,2,2
"33","1",27,"TimeSem",1,1,0.111111111111111,1,22901,0,0.666666666666667,0.116666666666667,0,1,0.558333333333333,1,3,1
"33","1",28,"SpaceTime",1,1,0.111111111111111,1,33302,0,0.222222222222222,-0.266666666666667,0,0.333333333333333,0.366666666666667,2,1,4
"33","1",29,"SpaceSemTime",1,1,0,1,25985,0.666666666666667,0.666666666666667,0.483333333333333,1,1,0.741666666666667,3,2,3
"33","1",30,"Control",1,1,0.111111111111111,1,24146,0,0.666666666666667,0.4,0,1,0.7,1,3,1
"33","2",31,"SpaceSemTime",1,1,0.333333333333333,1,30367,0.666666666666667,0.666666666666667,0.483333333333333,1,1,0.741666666666667,3,2,3
"33","2",32,"SpaceTime",1,1,0.111111111111111,1,32567,0,0.666666666666667,-0.85,0,1,0.075,1,3,1
"33","2",33,"Control",1,1,0,1,31346,0.222222222222222,0.333333333333333,0.0166666666666667,0.333333333333333,0.5,0.508333333333333,2,1,4
"33","2",34,"SpaceSem",1,1,0,1,37636,0.333333333333333,0.333333333333333,-0.466666666666667,0.5,0.5,0.266666666666667,2,1,4
"33","2",35,"TimeSem",1,1,0.222222222222222,1,31771,0,0.666666666666667,0.133333333333333,0,1,0.566666666666667,1,3,1
"33","2",36,"SpaceSem",1,1,0,1,34317,0.666666666666667,0.666666666666667,0.0833333333333333,1,1,0.541666666666667,3,2,3
"33","2",37,"SpaceTime",0.777777777777778,1,0.111111111111111,0.777777777777778,39934,0,0.666666666666667,-0.916666666666667,0,1,0.0416666666666667,1,3,1
"33","2",38,"SpaceSemTime",1,1,0.777777777777778,1,33163,0.666666666666667,0.666666666666667,0.933333333333333,1,1,0.966666666666667,3,2,3
"33","2",39,"TimeSem",1,1,0.222222222222222,1,27551,0,0.666666666666667,-0.0333333333333333,0,1,0.483333333333333,1,3,1
"33","2",40,"Control",1,1,0.222222222222222,1,30112,0,0.666666666666667,-0.166666666666667,0,1,0.416666666666667,1,3,1
"33","2",41,"SpaceSem",1,1,0,1,32265,0.333333333333333,0.333333333333333,-0.3,0.5,0.5,0.35,2,1,4
"33","2",42,"TimeSem",1,1,0.333333333333333,1,24136,0,0.666666666666667,-0.183333333333333,0,1,0.408333333333333,1,3,1
"33","2",43,"Control",1,1,0.333333333333333,1,38910,0,0.666666666666667,0.0666666666666667,0,1,0.533333333333333,1,3,1
"33","2",44,"SpaceSemTime",0.777777777777778,1,0,1,23425,0.666666666666667,0.666666666666667,-0.483333333333333,1,1,0.258333333333333,3,2,2
"33","2",45,"SpaceTime",1,1,0,1,31552,0,0.666666666666667,-0.483333333333333,0,1,0.258333333333333,1,3,1
"33","2",46,"Control",1,1,0.111111111111111,1,31144,0,0.666666666666667,-0.283333333333333,0,1,0.358333333333333,1,3,1
"33","2",47,"SpaceTime",1,1,0.111111111111111,1,32446,0.666666666666667,0,-0.0666666666666667,1,0,0.466666666666667,2,1,4
"33","2",48,"SpaceSem",0.777777777777778,1,0,1,23616,0.666666666666667,0.666666666666667,-0.0833333333333333,1,1,0.458333333333333,3,2,2
"33","2",49,"TimeSem",1,1,0.222222222222222,1,26377,0,0.666666666666667,0.233333333333333,0,1,0.616666666666667,1,3,1
"33","2",50,"SpaceSemTime",1,1,0,1,23280,0.666666666666667,0.666666666666667,-0.933333333333333,1,1,0.0333333333333333,3,2,2
