"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","session","startTime","attn_word","button_pressed","view_history","animation_sequence","condition","time_sequence","stim_type","direction","correct","init_locations","moves","final_locations","sort_correct","finalLocations","responses"
"3244","welcome","32","html-keyboard-response","0","3257","0.0-0.0","3","2020-1-8 9:0:57","LION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25192","consent",NA,"html-button-response","1","28455","0.0-1.0","3","2020-1-8 9:0:57","LION","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74362","instructions",NA,"instructions","2","102821","0.0-2.0","3","2020-1-8 9:0:57","LION",NA,"[{""page_index"":0,""viewing_time"":5420},{""page_index"":1,""viewing_time"":4287},{""page_index"":2,""viewing_time"":6366},{""page_index"":3,""viewing_time"":25191},{""page_index"":4,""viewing_time"":6286},{""page_index"":5,""viewing_time"":26811}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7846","finalInstructions",NA,"html-button-response","3","110672","0.0-3.0-0.0","3","2020-1-8 9:0:57","LION","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19939","setup3",NA,"animation","4","130617","0.0-3.0-1.0","3","2020-1-8 9:0:57","LION",NA,NA,"[{""cat"":7,""src"":3,""loc"":8},{""cat"":26,""src"":16,""loc"":3},{""cat"":30,""src"":6,""loc"":1},{""cat"":30,""src"":15,""loc"":2},{""cat"":7,""src"":8,""loc"":6},{""cat"":26,""src"":18,""loc"":4},{""cat"":7,""src"":16,""loc"":7},{""cat"":30,""src"":17,""loc"":0},{""cat"":26,""src"":6,""loc"":5}]","3","1108,1103,1103,1104,1102,1103,1106,1103,1104,10003",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6769","flanker_instructions","37","html-keyboard-response","5","137393","0.0-3.0-2.0","3","2020-1-8 9:0:57","LION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","6","139301","0.0-3.0-3.0-0.0","3","2020-1-8 9:0:57","LION",NA,NA,NA,NA,NA,"incongruent","left","FALSE",NA,NA,NA,NA,NA,NA
"674","flanker_test","37","image-keyboard-response","7","140968","0.0-3.0-3.0-0.1","3","2020-1-8 9:0:57","LION",NA,NA,NA,NA,NA,"congruent","left","TRUE",NA,NA,NA,NA,NA,NA
"689","flanker_test","39","image-keyboard-response","8","142524","0.0-3.0-3.0-0.2","3","2020-1-8 9:0:57","LION",NA,NA,NA,NA,NA,"incongruent","right","TRUE",NA,NA,NA,NA,NA,NA
"611","flanker_test","39","image-keyboard-response","9","143446","0.0-3.0-3.0-0.3","3","2020-1-8 9:0:57","LION",NA,NA,NA,NA,NA,"congruent","right","TRUE",NA,NA,NA,NA,NA,NA
"43985","sort_trial",NA,"free-sort","10","188109","0.0-3.0-4.0","3","2020-1-8 9:0:57","LION",NA,NA,NA,NA,NA,NA,NA,NA,"[{""cat"":7,""src"":3,""x"":48,""y"":264},{""cat"":26,""src"":16,""x"":79,""y"":135},{""cat"":30,""src"":6,""x"":16,""y"":2},{""cat"":30,""src"":15,""x"":8,""y"":493},{""cat"":7,""src"":8,""x"":5,""y"":446},{""cat"":26,""src"":18,""x"":62,""y"":302},{""cat"":7,""src"":16,""x"":11,""y"":85},{""cat"":30,""src"":17,""x"":79,""y"":185},{""cat"":26,""src"":6,""x"":11,""y"":387}]","[{""cat"":""26"",""src"":""16"",""x"":0,""y"":0},{""cat"":""26"",""src"":""6"",""x"":0,""y"":0},{""cat"":""26"",""src"":""18"",""x"":0,""y"":0},{""cat"":""7"",""src"":""8"",""x"":0,""y"":0},{""cat"":""7"",""src"":""3"",""x"":0,""y"":0},{""cat"":""7"",""src"":""16"",""x"":0,""y"":0},{""cat"":""30"",""src"":""6"",""x"":0,""y"":0},{""cat"":""30"",""src"":""17"",""x"":0,""y"":0},{""cat"":""30"",""src"":""15"",""x"":0,""y"":0}]","[{""cat"":26,""src"":16,""loc"":3},{""cat"":26,""src"":6,""loc"":5},{""cat"":26,""src"":18,""loc"":4},{""cat"":7,""src"":8,""loc"":6},{""cat"":7,""src"":3,""loc"":8},{""cat"":7,""src"":16,""loc"":7},{""cat"":30,""src"":6,""loc"":1},{""cat"":30,""src"":17,""loc"":0},{""cat"":30,""src"":15,""loc"":2}]","9","30,30,30,26,26,26,7,7,7,17,6,15,16,18,6,8,16,3,0,1,2,3,4,5,6,7,8,7,6,8,0,2,1,3,5,4",NA
"2450","sort_feedback","32","html-keyboard-response","11","190566","0.0-3.0-5.0","3","2020-1-8 9:0:57","LION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19939","setup4",NA,"animation","12","210507","0.0-3.0-6.0","3","2020-1-8 9:0:57","LION",NA,NA,"[{""cat"":22,""src"":13,""loc"":2},{""cat"":22,""src"":10,""loc"":5},{""cat"":22,""src"":0,""loc"":8},{""cat"":15,""src"":18,""loc"":3},{""cat"":15,""src"":9,""loc"":1},{""cat"":15,""src"":16,""loc"":6},{""cat"":14,""src"":10,""loc"":7},{""cat"":14,""src"":3,""loc"":4},{""cat"":14,""src"":14,""loc"":0}]","4","1104,1103,1103,1103,1104,1107,1104,1105,1104,10002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1250","flanker_instructions","37","html-keyboard-response","13","211762","0.0-3.0-7.0","3","2020-1-8 9:0:57","LION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","14","213668","0.0-3.0-8.0-0.0","3","2020-1-8 9:0:57","LION",NA,NA,NA,NA,NA,"incongruent","left","FALSE",NA,NA,NA,NA,NA,NA
"663","flanker_test","39","image-keyboard-response","15","215099","0.0-3.0-8.0-0.1","3","2020-1-8 9:0:57","LION",NA,NA,NA,NA,NA,"incongruent","right","TRUE",NA,NA,NA,NA,NA,NA
"774","flanker_test","39","image-keyboard-response","16","216644","0.0-3.0-8.0-0.2","3","2020-1-8 9:0:57","LION",NA,NA,NA,NA,NA,"congruent","right","TRUE",NA,NA,NA,NA,NA,NA
"639","flanker_test","37","image-keyboard-response","17","218471","0.0-3.0-8.0-0.3","3","2020-1-8 9:0:57","LION",NA,NA,NA,NA,NA,"congruent","left","TRUE",NA,NA,NA,NA,NA,NA
"53878","sort_trial",NA,"free-sort","18","273230","0.0-3.0-9.0","3","2020-1-8 9:0:57","LION",NA,NA,NA,NA,NA,NA,NA,NA,"[{""cat"":22,""src"":13,""x"":74,""y"":320},{""cat"":22,""src"":10,""x"":62,""y"":247},{""cat"":22,""src"":0,""x"":72,""y"":201},{""cat"":15,""src"":18,""x"":21,""y"":483},{""cat"":15,""src"":9,""x"":8,""y"":436},{""cat"":15,""src"":16,""x"":72,""y"":71},{""cat"":14,""src"":10,""x"":77,""y"":131},{""cat"":14,""src"":3,""x"":19,""y"":8},{""cat"":14,""src"":14,""x"":44,""y"":366}]","[{""cat"":""15"",""src"":""16"",""x"":0,""y"":0},{""cat"":""14"",""src"":""3"",""x"":138,""y"":44},{""cat"":""14"",""src"":""14"",""x"":0,""y"":0},{""cat"":""15"",""src"":""9"",""x"":0,""y"":0},{""cat"":""15"",""src"":""18"",""x"":0,""y"":0},{""cat"":""14"",""src"":""3"",""x"":0,""y"":0},{""cat"":""22"",""src"":""10"",""x"":62,""y"":247},{""cat"":""22"",""src"":""0"",""x"":0,""y"":0},{""cat"":""14"",""src"":""10"",""x"":0,""y"":0},{""cat"":""22"",""src"":""10"",""x"":0,""y"":0},{""cat"":""22"",""src"":""13"",""x"":0,""y"":0}]","[{""cat"":15,""src"":16,""loc"":6},{""cat"":14,""src"":14,""loc"":0},{""cat"":15,""src"":9,""loc"":1},{""cat"":15,""src"":18,""loc"":3},{""cat"":14,""src"":3,""loc"":4},{""cat"":22,""src"":0,""loc"":8},{""cat"":14,""src"":10,""loc"":7},{""cat"":22,""src"":10,""loc"":5},{""cat"":22,""src"":13,""loc"":2}]","9","14,15,22,15,14,22,15,14,22,14,9,13,18,3,10,16,10,0,0,1,2,3,4,5,6,7,8,1,2,8,3,4,7,0,6,5",NA
"4292","sort_feedback","32","html-keyboard-response","19","277526","0.0-3.0-10.0","3","2020-1-8 9:0:57","LION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19937","setup5",NA,"animation","20","297466","0.0-3.0-11.0","3","2020-1-8 9:0:57","LION",NA,NA,"[{""cat"":9,""src"":16,""loc"":0},{""cat"":11,""src"":13,""loc"":6},{""cat"":3,""src"":7,""loc"":4},{""cat"":3,""src"":15,""loc"":1},{""cat"":11,""src"":0,""loc"":3},{""cat"":9,""src"":4,""loc"":8},{""cat"":3,""src"":17,""loc"":7},{""cat"":9,""src"":13,""loc"":5},{""cat"":11,""src"":2,""loc"":2}]","5","1107,1102,1103,1104,1103,1104,1103,1104,1105,10002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1509","flanker_instructions","37","html-keyboard-response","21","298978","0.0-3.0-12.0","3","2020-1-8 9:0:57","LION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"735","flanker_test","39","image-keyboard-response","22","300718","0.0-3.0-13.0-0.0","3","2020-1-8 9:0:57","LION",NA,NA,NA,NA,NA,"incongruent","right","TRUE",NA,NA,NA,NA,NA,NA
"751","flanker_test","37","image-keyboard-response","23","302183","0.0-3.0-13.0-0.1","3","2020-1-8 9:0:57","LION",NA,NA,NA,NA,NA,"incongruent","left","TRUE",NA,NA,NA,NA,NA,NA
"540","flanker_test","39","image-keyboard-response","24","303778","0.0-3.0-13.0-0.2","3","2020-1-8 9:0:57","LION",NA,NA,NA,NA,NA,"congruent","right","TRUE",NA,NA,NA,NA,NA,NA
"519","flanker_test","37","image-keyboard-response","25","305238","0.0-3.0-13.0-0.3","3","2020-1-8 9:0:57","LION",NA,NA,NA,NA,NA,"congruent","left","TRUE",NA,NA,NA,NA,NA,NA
"44435","sort_trial",NA,"free-sort","26","350037","0.0-3.0-14.0","3","2020-1-8 9:0:57","LION",NA,NA,NA,NA,NA,NA,NA,NA,"[{""cat"":9,""src"":16,""x"":24,""y"":28},{""cat"":11,""src"":13,""x"":12,""y"":385},{""cat"":3,""src"":7,""x"":78,""y"":127},{""cat"":3,""src"":15,""x"":79,""y"":443},{""cat"":11,""src"":0,""x"":0,""y"":260},{""cat"":9,""src"":4,""x"":74,""y"":66},{""cat"":3,""src"":17,""x"":28,""y"":307},{""cat"":9,""src"":13,""x"":53,""y"":508},{""cat"":11,""src"":2,""x"":17,""y"":199}]","[{""cat"":""11"",""src"":""13"",""x"":0,""y"":0},{""cat"":""3"",""src"":""15"",""x"":0,""y"":0},{""cat"":""9"",""src"":""13"",""x"":0,""y"":0},{""cat"":""9"",""src"":""16"",""x"":0,""y"":0},{""cat"":""11"",""src"":""2"",""x"":0,""y"":0},{""cat"":""11"",""src"":""0"",""x"":0,""y"":0},{""cat"":""3"",""src"":""17"",""x"":0,""y"":0},{""cat"":""3"",""src"":""7"",""x"":0,""y"":0},{""cat"":""9"",""src"":""4"",""x"":0,""y"":0}]","[{""cat"":11,""src"":13,""loc"":6},{""cat"":3,""src"":15,""loc"":1},{""cat"":9,""src"":13,""loc"":5},{""cat"":9,""src"":16,""loc"":0},{""cat"":11,""src"":2,""loc"":2},{""cat"":11,""src"":0,""loc"":3},{""cat"":3,""src"":17,""loc"":7},{""cat"":3,""src"":7,""loc"":4},{""cat"":9,""src"":4,""loc"":8}]","9","9,3,11,11,3,9,11,3,9,16,15,2,0,7,13,13,17,4,0,1,2,3,4,5,6,7,8,3,1,4,5,7,2,0,6,8",NA
"1854","sort_feedback","32","html-keyboard-response","27","351897","0.0-3.0-15.0","3","2020-1-8 9:0:57","LION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19934","setup2",NA,"animation","28","371834","0.0-3.0-16.0","3","2020-1-8 9:0:57","LION",NA,NA,"[{""cat"":24,""src"":18,""loc"":7},{""cat"":27,""src"":2,""loc"":8},{""cat"":14,""src"":17,""loc"":6},{""cat"":24,""src"":5,""loc"":2},{""cat"":14,""src"":5,""loc"":0},{""cat"":27,""src"":17,""loc"":1},{""cat"":27,""src"":12,""loc"":4},{""cat"":14,""src"":19,""loc"":3},{""cat"":24,""src"":4,""loc"":5}]","2","1105,1102,1104,1104,1102,1104,1105,1103,1102,10003",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1777","flanker_instructions","37","html-keyboard-response","29","373615","0.0-3.0-17.0","3","2020-1-8 9:0:57","LION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"819","flanker_test","37","image-keyboard-response","30","375440","0.0-3.0-18.0-0.0","3","2020-1-8 9:0:57","LION",NA,NA,NA,NA,NA,"incongruent","left","TRUE",NA,NA,NA,NA,NA,NA
"757","flanker_test","39","image-keyboard-response","31","376513","0.0-3.0-18.0-0.1","3","2020-1-8 9:0:57","LION",NA,NA,NA,NA,NA,"incongruent","right","TRUE",NA,NA,NA,NA,NA,NA
"584","flanker_test","37","image-keyboard-response","32","377891","0.0-3.0-18.0-0.2","3","2020-1-8 9:0:57","LION",NA,NA,NA,NA,NA,"congruent","left","TRUE",NA,NA,NA,NA,NA,NA
"604","flanker_test","39","image-keyboard-response","33","379593","0.0-3.0-18.0-0.3","3","2020-1-8 9:0:57","LION",NA,NA,NA,NA,NA,"congruent","right","TRUE",NA,NA,NA,NA,NA,NA
"30631","sort_trial",NA,"free-sort","34","411400","0.0-3.0-19.0","3","2020-1-8 9:0:57","LION",NA,NA,NA,NA,NA,NA,NA,NA,"[{""cat"":24,""src"":18,""x"":55,""y"":83},{""cat"":27,""src"":2,""x"":25,""y"":501},{""cat"":14,""src"":17,""x"":75,""y"":313},{""cat"":24,""src"":5,""x"":70,""y"":132},{""cat"":14,""src"":5,""x"":41,""y"":373},{""cat"":27,""src"":17,""x"":56,""y"":444},{""cat"":27,""src"":12,""x"":18,""y"":1},{""cat"":14,""src"":19,""x"":56,""y"":256},{""cat"":24,""src"":4,""x"":52,""y"":202}]","[{""cat"":""27"",""src"":""12"",""x"":0,""y"":0},{""cat"":""24"",""src"":""4"",""x"":0,""y"":0},{""cat"":""27"",""src"":""17"",""x"":0,""y"":0},{""cat"":""27"",""src"":""2"",""x"":0,""y"":0},{""cat"":""14"",""src"":""17"",""x"":0,""y"":0},{""cat"":""24"",""src"":""5"",""x"":0,""y"":0},{""cat"":""14"",""src"":""19"",""x"":0,""y"":0},{""cat"":""24"",""src"":""18"",""x"":0,""y"":0},{""cat"":""14"",""src"":""5"",""x"":0,""y"":0}]","[{""cat"":27,""src"":12,""loc"":4},{""cat"":24,""src"":4,""loc"":5},{""cat"":27,""src"":17,""loc"":1},{""cat"":27,""src"":2,""loc"":8},{""cat"":14,""src"":17,""loc"":0},{""cat"":24,""src"":5,""loc"":2},{""cat"":14,""src"":19,""loc"":3},{""cat"":24,""src"":18,""loc"":7},{""cat"":14,""src"":5,""loc"":6}]","7","14,27,24,14,27,24,14,24,27,17,17,5,19,12,4,5,18,2,0,1,2,3,4,5,6,7,8,4,2,5,6,0,1,8,7,3",NA
