"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","session","startTime","attn_word","button_pressed","view_history","animation_sequence","condition","time_sequence","stim_type","direction","correct","init_locations","moves","final_locations","sort_correct","finalLocations","responses"
"102785","welcome","74","html-keyboard-response","0","102802","0.0-0.0","3","2020-1-8 21:4:28","MOUSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5141","consent",NA,"html-button-response","1","107951","0.0-1.0","3","2020-1-8 21:4:28","MOUSE","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11466","instructions",NA,"instructions","2","119422","0.0-2.0","3","2020-1-8 21:4:28","MOUSE",NA,"[{""page_index"":0,""viewing_time"":2785},{""page_index"":1,""viewing_time"":1324},{""page_index"":2,""viewing_time"":1360},{""page_index"":3,""viewing_time"":2076},{""page_index"":4,""viewing_time"":1245},{""page_index"":5,""viewing_time"":2675}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3299","finalInstructions",NA,"html-button-response","3","122726","0.0-3.0-0.0","3","2020-1-8 21:4:28","MOUSE","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19955","setup4",NA,"animation","4","142686","0.0-3.0-1.0","3","2020-1-8 21:4:28","MOUSE",NA,NA,"[{""cat"":11,""src"":1,""loc"":2},{""cat"":11,""src"":17,""loc"":8},{""cat"":11,""src"":8,""loc"":3},{""cat"":16,""src"":5,""loc"":7},{""cat"":16,""src"":19,""loc"":1},{""cat"":16,""src"":3,""loc"":5},{""cat"":10,""src"":6,""loc"":4},{""cat"":10,""src"":8,""loc"":0},{""cat"":10,""src"":0,""loc"":6}]","4","1108,1106,1103,1104,1106,1107,1105,1103,1107,10006",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1264","flanker_instructions","39","html-keyboard-response","5","143962","0.0-3.0-2.0","3","2020-1-8 21:4:28","MOUSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"690","flanker_test","39","image-keyboard-response","6","145666","0.0-3.0-3.0-0.0","3","2020-1-8 21:4:28","MOUSE",NA,NA,NA,NA,NA,"incongruent","right","TRUE",NA,NA,NA,NA,NA,NA
"433","flanker_test","39","image-keyboard-response","7","146965","0.0-3.0-3.0-0.1","3","2020-1-8 21:4:28","MOUSE",NA,NA,NA,NA,NA,"congruent","right","TRUE",NA,NA,NA,NA,NA,NA
"887","flanker_test","37","image-keyboard-response","8","148225","0.0-3.0-3.0-0.2","3","2020-1-8 21:4:28","MOUSE",NA,NA,NA,NA,NA,"incongruent","left","TRUE",NA,NA,NA,NA,NA,NA
"447","flanker_test","37","image-keyboard-response","9","149464","0.0-3.0-3.0-0.3","3","2020-1-8 21:4:28","MOUSE",NA,NA,NA,NA,NA,"congruent","left","TRUE",NA,NA,NA,NA,NA,NA
