"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","session","startTime","attn_word","button_pressed","view_history","animation_sequence","condition","time_sequence","stim_type","direction","correct","init_locations","moves","final_locations","sort_correct","finalLocations","responses"
"27806","welcome","17","html-keyboard-response","0","27817","0.0-0.0","3","2020-1-8 20:29:15","FISH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34446","consent",NA,"html-button-response","1","62269","0.0-1.0","3","2020-1-8 20:29:15","FISH","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26550","instructions",NA,"instructions","2","88823","0.0-2.0","3","2020-1-8 20:29:15","FISH",NA,"[{""page_index"":0,""viewing_time"":4161},{""page_index"":1,""viewing_time"":3044},{""page_index"":2,""viewing_time"":1888},{""page_index"":3,""viewing_time"":4134},{""page_index"":4,""viewing_time"":2533},{""page_index"":5,""viewing_time"":10789}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7953","finalInstructions",NA,"html-button-response","3","96780","0.0-3.0-0.0","3","2020-1-8 20:29:15","FISH","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19928","setup1",NA,"animation","4","116712","0.0-3.0-1.0","3","2020-1-8 20:29:15","FISH",NA,NA,"[{""cat"":19,""src"":4,""loc"":7},{""cat"":19,""src"":3,""loc"":6},{""cat"":19,""src"":9,""loc"":8},{""cat"":3,""src"":16,""loc"":2},{""cat"":3,""src"":1,""loc"":0},{""cat"":3,""src"":19,""loc"":1},{""cat"":32,""src"":13,""loc"":4},{""cat"":32,""src"":8,""loc"":5},{""cat"":32,""src"":1,""loc"":3}]","1","1107,1102,1102,1102,1103,1101,1102,1103,1104,10002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"485","flanker_instructions","39","html-keyboard-response","5","117203","0.0-3.0-2.0","3","2020-1-8 20:29:15","FISH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"595","flanker_test","37","image-keyboard-response","6","118805","0.0-3.0-3.0-0.0","3","2020-1-8 20:29:15","FISH",NA,NA,NA,NA,NA,"congruent","left","TRUE",NA,NA,NA,NA,NA,NA
"411","flanker_test","39","image-keyboard-response","7","119698","0.0-3.0-3.0-0.1","3","2020-1-8 20:29:15","FISH",NA,NA,NA,NA,NA,"congruent","right","TRUE",NA,NA,NA,NA,NA,NA
"559","flanker_test","37","image-keyboard-response","8","121225","0.0-3.0-3.0-0.2","3","2020-1-8 20:29:15","FISH",NA,NA,NA,NA,NA,"incongruent","left","TRUE",NA,NA,NA,NA,NA,NA
"696","flanker_test","39","image-keyboard-response","9","122281","0.0-3.0-3.0-0.3","3","2020-1-8 20:29:15","FISH",NA,NA,NA,NA,NA,"incongruent","right","TRUE",NA,NA,NA,NA,NA,NA
