"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","session","startTime","attn_word","button_pressed","view_history","animation_sequence","condition","time_sequence","stim_type","direction","correct","init_locations","moves","final_locations","sort_correct","finalLocations","responses"
"21257","welcome","32","html-keyboard-response","0","21265","0.0-0.0","3","2020-1-8 8:35:34","LION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7903","consent",NA,"html-button-response","1","29172","0.0-1.0","3","2020-1-8 8:35:34","LION","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54719","instructions",NA,"instructions","2","83893","0.0-2.0","3","2020-1-8 8:35:34","LION",NA,"[{""page_index"":0,""viewing_time"":3719},{""page_index"":1,""viewing_time"":6297},{""page_index"":2,""viewing_time"":3187},{""page_index"":3,""viewing_time"":4588},{""page_index"":4,""viewing_time"":8754},{""page_index"":5,""viewing_time"":28173}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2625","finalInstructions",NA,"html-button-response","3","86520","0.0-3.0-0.0","3","2020-1-8 8:35:34","LION","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19971","setup1",NA,"animation","4","106493","0.0-3.0-1.0","3","2020-1-8 8:35:34","LION",NA,NA,"[{""cat"":20,""src"":5,""loc"":7},{""cat"":20,""src"":17,""loc"":8},{""cat"":20,""src"":12,""loc"":6},{""cat"":24,""src"":19,""loc"":0},{""cat"":24,""src"":15,""loc"":2},{""cat"":24,""src"":0,""loc"":1},{""cat"":6,""src"":6,""loc"":5},{""cat"":6,""src"":4,""loc"":3},{""cat"":6,""src"":16,""loc"":4}]","1","1107,1103,1103,1102,1114,1103,1110,1104,1112,10013",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2415","flanker_instructions","39","html-keyboard-response","5","108912","0.0-3.0-2.0","3","2020-1-8 8:35:34","LION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"528","flanker_test","37","image-keyboard-response","6","110453","0.0-3.0-3.0-0.0","3","2020-1-8 8:35:34","LION",NA,NA,NA,NA,NA,"congruent","left","TRUE",NA,NA,NA,NA,NA,NA
"656","flanker_test","39","image-keyboard-response","7","111742","0.0-3.0-3.0-0.1","3","2020-1-8 8:35:34","LION",NA,NA,NA,NA,NA,"incongruent","left","FALSE",NA,NA,NA,NA,NA,NA
"682","flanker_test","39","image-keyboard-response","8","113270","0.0-3.0-3.0-0.2","3","2020-1-8 8:35:34","LION",NA,NA,NA,NA,NA,"congruent","right","TRUE",NA,NA,NA,NA,NA,NA
"745","flanker_test","39","image-keyboard-response","9","115054","0.0-3.0-3.0-0.3","3","2020-1-8 8:35:34","LION",NA,NA,NA,NA,NA,"incongruent","right","TRUE",NA,NA,NA,NA,NA,NA
