"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","session","startTime","attn_word","button_pressed","view_history","animation_sequence","condition","time_sequence","stim_type","direction","correct","init_locations","moves","final_locations","sort_correct","finalLocations","responses"
"7708","welcome","32","html-keyboard-response","0","7722","0.0-0.0","2","2020-1-7 6:35:7","MOUSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22557","consent",NA,"html-button-response","1","30287","0.0-1.0","2","2020-1-7 6:35:7","MOUSE","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48397","instructions",NA,"instructions","2","78689","0.0-2.0","2","2020-1-7 6:35:7","MOUSE",NA,"[{""page_index"":0,""viewing_time"":7654},{""page_index"":1,""viewing_time"":5607},{""page_index"":2,""viewing_time"":5450},{""page_index"":3,""viewing_time"":8864},{""page_index"":4,""viewing_time"":5663},{""page_index"":5,""viewing_time"":15158}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5250","finalInstructions",NA,"html-button-response","3","83944","0.0-3.0-0.0","2","2020-1-7 6:35:7","MOUSE","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19940","setup1",NA,"animation","4","103890","0.0-3.0-1.0","2","2020-1-7 6:35:7","MOUSE",NA,NA,"[{""cat"":9,""src"":13,""loc"":1},{""cat"":9,""src"":16,""loc"":0},{""cat"":9,""src"":10,""loc"":2},{""cat"":17,""src"":10,""loc"":8},{""cat"":17,""src"":4,""loc"":6},{""cat"":17,""src"":9,""loc"":7},{""cat"":22,""src"":4,""loc"":3},{""cat"":22,""src"":6,""loc"":4},{""cat"":22,""src"":0,""loc"":5}]","1","1108,1103,1103,1103,1105,1104,1103,1103,1104,10004",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2670","flanker_instructions","39","html-keyboard-response","5","106564","0.0-3.0-2.0","2","2020-1-7 6:35:7","MOUSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"726","flanker_test","39","image-keyboard-response","6","108299","0.0-3.0-3.0-0.0","2","2020-1-7 6:35:7","MOUSE",NA,NA,NA,NA,NA,"incongruent","right","TRUE",NA,NA,NA,NA,NA,NA
"698","flanker_test","39","image-keyboard-response","7","109344","0.0-3.0-3.0-0.1","2","2020-1-7 6:35:7","MOUSE",NA,NA,NA,NA,NA,"congruent","right","TRUE",NA,NA,NA,NA,NA,NA
"805","flanker_test","37","image-keyboard-response","8","111341","0.0-3.0-3.0-0.2","2","2020-1-7 6:35:7","MOUSE",NA,NA,NA,NA,NA,"incongruent","left","TRUE",NA,NA,NA,NA,NA,NA
"527","flanker_test","37","image-keyboard-response","9","112276","0.0-3.0-3.0-0.3","2","2020-1-7 6:35:7","MOUSE",NA,NA,NA,NA,NA,"congruent","left","TRUE",NA,NA,NA,NA,NA,NA
