"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","session","startTime","attn_word","button_pressed","view_history","animation_sequence","condition","time_sequence","stim_type","direction","correct","init_locations","moves","final_locations","sort_correct","finalLocations","responses"
"1511","welcome","70","html-keyboard-response","0","1522","0.0-0.0","2","2020-1-7 7:19:46","ZEBRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2732","consent",NA,"html-button-response","1","4257","0.0-1.0","2","2020-1-7 7:19:46","ZEBRA","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21350","instructions",NA,"instructions","2","25609","0.0-2.0","2","2020-1-7 7:19:46","ZEBRA",NA,"[{""page_index"":0,""viewing_time"":2725},{""page_index"":1,""viewing_time"":1536},{""page_index"":2,""viewing_time"":8232},{""page_index"":3,""viewing_time"":1624},{""page_index"":4,""viewing_time"":912},{""page_index"":5,""viewing_time"":6320}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1421","finalInstructions",NA,"html-button-response","3","27033","0.0-3.0-0.0","2","2020-1-7 7:19:46","ZEBRA","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19930","setup5",NA,"animation","4","46967","0.0-3.0-1.0","2","2020-1-7 7:19:46","ZEBRA",NA,NA,"[{""cat"":18,""src"":15,""loc"":3},{""cat"":22,""src"":7,""loc"":2},{""cat"":14,""src"":15,""loc"":7},{""cat"":22,""src"":2,""loc"":6},{""cat"":14,""src"":16,""loc"":5},{""cat"":18,""src"":5,""loc"":1},{""cat"":18,""src"":19,""loc"":8},{""cat"":14,""src"":13,""loc"":0},{""cat"":22,""src"":5,""loc"":4}]","5","1106,1103,1101,1101,1102,1103,1104,1103,1105,10001",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1909","flanker_instructions","68","html-keyboard-response","5","48882","0.0-3.0-2.0","2","2020-1-7 7:19:46","ZEBRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","6","50788","0.0-3.0-3.0-0.0","2","2020-1-7 7:19:46","ZEBRA",NA,NA,NA,NA,NA,"incongruent","left","FALSE",NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","7","52238","0.0-3.0-3.0-0.1","2","2020-1-7 7:19:46","ZEBRA",NA,NA,NA,NA,NA,"incongruent","right","FALSE",NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","8","54091","0.0-3.0-3.0-0.2","2","2020-1-7 7:19:46","ZEBRA",NA,NA,NA,NA,NA,"congruent","left","FALSE",NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","9","55750","0.0-3.0-3.0-0.3","2","2020-1-7 7:19:46","ZEBRA",NA,NA,NA,NA,NA,"congruent","right","FALSE",NA,NA,NA,NA,NA,NA
"29979","sort_trial",NA,"free-sort","10","86729","0.0-3.0-4.0","2","2020-1-7 7:19:46","ZEBRA",NA,NA,NA,NA,NA,NA,NA,NA,"[{""cat"":18,""src"":15,""x"":27,""y"":20},{""cat"":22,""src"":7,""x"":68,""y"":188},{""cat"":14,""src"":15,""x"":6,""y"":305},{""cat"":22,""src"":2,""x"":43,""y"":130},{""cat"":14,""src"":16,""x"":68,""y"":268},{""cat"":18,""src"":5,""x"":57,""y"":502},{""cat"":18,""src"":19,""x"":70,""y"":371},{""cat"":14,""src"":13,""x"":46,""y"":65},{""cat"":22,""src"":5,""x"":16,""y"":445}]","[{""cat"":""18"",""src"":""5"",""x"":0,""y"":0},{""cat"":""22"",""src"":""7"",""x"":0,""y"":0},{""cat"":""22"",""src"":""2"",""x"":0,""y"":0},{""cat"":""18"",""src"":""19"",""x"":502,""y"":342},{""cat"":""18"",""src"":""19"",""x"":0,""y"":0},{""cat"":""14"",""src"":""15"",""x"":0,""y"":0},{""cat"":""14"",""src"":""16"",""x"":0,""y"":0},{""cat"":""18"",""src"":""15"",""x"":0,""y"":0},{""cat"":""14"",""src"":""13"",""x"":0,""y"":0},{""cat"":""22"",""src"":""5"",""x"":0,""y"":0}]","[{""cat"":18,""src"":5,""loc"":1},{""cat"":22,""src"":7,""loc"":2},{""cat"":22,""src"":2,""loc"":6},{""cat"":18,""src"":19,""loc"":8},{""cat"":14,""src"":15,""loc"":7},{""cat"":14,""src"":16,""loc"":5},{""cat"":18,""src"":15,""loc"":3},{""cat"":14,""src"":13,""loc"":0},{""cat"":22,""src"":5,""loc"":4}]","9","14,18,22,18,22,14,22,14,18,13,5,7,15,5,16,2,15,19,0,1,2,3,4,5,6,7,8,7,0,1,6,8,5,2,4,3",NA
"2391","sort_feedback","82","html-keyboard-response","11","89131","0.0-3.0-5.0","2","2020-1-7 7:19:46","ZEBRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19934","setup4",NA,"animation","12","109070","0.0-3.0-6.0","2","2020-1-7 7:19:46","ZEBRA",NA,NA,"[{""cat"":30,""src"":19,""loc"":5},{""cat"":30,""src"":2,""loc"":7},{""cat"":30,""src"":18,""loc"":2},{""cat"":14,""src"":14,""loc"":3},{""cat"":14,""src"":15,""loc"":0},{""cat"":14,""src"":19,""loc"":8},{""cat"":3,""src"":7,""loc"":6},{""cat"":3,""src"":4,""loc"":1},{""cat"":3,""src"":10,""loc"":4}]","4","1107,1102,1102,1103,1101,1106,1104,1105,1101,10003",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1553","flanker_instructions","75","html-keyboard-response","13","110624","0.0-3.0-7.0","2","2020-1-7 7:19:46","ZEBRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","14","112529","0.0-3.0-8.0-0.0","2","2020-1-7 7:19:46","ZEBRA",NA,NA,NA,NA,NA,"congruent","right","FALSE",NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","15","114602","0.0-3.0-8.0-0.1","2","2020-1-7 7:19:46","ZEBRA",NA,NA,NA,NA,NA,"incongruent","left","FALSE",NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","16","116580","0.0-3.0-8.0-0.2","2","2020-1-7 7:19:46","ZEBRA",NA,NA,NA,NA,NA,"congruent","left","FALSE",NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","17","118288","0.0-3.0-8.0-0.3","2","2020-1-7 7:19:46","ZEBRA",NA,NA,NA,NA,NA,"incongruent","right","FALSE",NA,NA,NA,NA,NA,NA
"15912","sort_trial",NA,"free-sort","18","134888","0.0-3.0-9.0","2","2020-1-7 7:19:46","ZEBRA",NA,NA,NA,NA,NA,NA,NA,NA,"[{""cat"":30,""src"":19,""x"":80,""y"":502},{""cat"":30,""src"":2,""x"":11,""y"":315},{""cat"":30,""src"":18,""x"":54,""y"":361},{""cat"":14,""src"":14,""x"":83,""y"":441},{""cat"":14,""src"":15,""x"":65,""y"":240},{""cat"":14,""src"":19,""x"":46,""y"":9},{""cat"":3,""src"":7,""x"":12,""y"":180},{""cat"":3,""src"":4,""x"":12,""y"":144},{""cat"":3,""src"":10,""x"":73,""y"":71}]","[{""cat"":""3"",""src"":""4"",""x"":0,""y"":0},{""cat"":""14"",""src"":""15"",""x"":0,""y"":0},{""cat"":""30"",""src"":""18"",""x"":0,""y"":0},{""cat"":""3"",""src"":""7"",""x"":0,""y"":0},{""cat"":""30"",""src"":""2"",""x"":0,""y"":0},{""cat"":""14"",""src"":""19"",""x"":0,""y"":0},{""cat"":""30"",""src"":""19"",""x"":0,""y"":0},{""cat"":""14"",""src"":""14"",""x"":0,""y"":0},{""cat"":""3"",""src"":""10"",""x"":0,""y"":0}]","[{""cat"":3,""src"":4,""loc"":1},{""cat"":14,""src"":15,""loc"":0},{""cat"":30,""src"":18,""loc"":2},{""cat"":3,""src"":7,""loc"":6},{""cat"":30,""src"":2,""loc"":7},{""cat"":14,""src"":19,""loc"":8},{""cat"":30,""src"":19,""loc"":5},{""cat"":14,""src"":14,""loc"":3},{""cat"":3,""src"":10,""loc"":4}]","9","14,3,30,14,3,30,3,30,14,15,4,18,14,10,19,7,2,19,0,1,2,3,4,5,6,7,8,1,0,2,7,8,6,3,4,5",NA
"1405","sort_feedback","75","html-keyboard-response","19","136295","0.0-3.0-10.0","2","2020-1-7 7:19:46","ZEBRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19916","setup1",NA,"animation","20","156212","0.0-3.0-11.0","2","2020-1-7 7:19:46","ZEBRA",NA,NA,"[{""cat"":3,""src"":15,""loc"":2},{""cat"":3,""src"":4,""loc"":0},{""cat"":3,""src"":7,""loc"":1},{""cat"":19,""src"":12,""loc"":5},{""cat"":19,""src"":19,""loc"":3},{""cat"":19,""src"":13,""loc"":4},{""cat"":5,""src"":5,""loc"":8},{""cat"":5,""src"":6,""loc"":7},{""cat"":5,""src"":19,""loc"":6}]","1","1103,1102,1101,1101,1101,1102,1101,1101,1103,10000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"619","flanker_instructions","75","html-keyboard-response","21","156832","0.0-3.0-12.0","2","2020-1-7 7:19:46","ZEBRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","22","158735","0.0-3.0-13.0-0.0","2","2020-1-7 7:19:46","ZEBRA",NA,NA,NA,NA,NA,"congruent","left","FALSE",NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","23","160123","0.0-3.0-13.0-0.1","2","2020-1-7 7:19:46","ZEBRA",NA,NA,NA,NA,NA,"incongruent","right","FALSE",NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","24","162074","0.0-3.0-13.0-0.2","2","2020-1-7 7:19:46","ZEBRA",NA,NA,NA,NA,NA,"incongruent","left","FALSE",NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","25","164108","0.0-3.0-13.0-0.3","2","2020-1-7 7:19:46","ZEBRA",NA,NA,NA,NA,NA,"congruent","right","FALSE",NA,NA,NA,NA,NA,NA
"18392","sort_trial",NA,"free-sort","26","183055","0.0-3.0-14.0","2","2020-1-7 7:19:46","ZEBRA",NA,NA,NA,NA,NA,NA,NA,NA,"[{""cat"":3,""src"":15,""x"":69,""y"":420},{""cat"":3,""src"":4,""x"":7,""y"":121},{""cat"":3,""src"":7,""x"":56,""y"":320},{""cat"":19,""src"":12,""x"":60,""y"":11},{""cat"":19,""src"":19,""x"":81,""y"":199},{""cat"":19,""src"":13,""x"":82,""y"":245},{""cat"":5,""src"":5,""x"":69,""y"":368},{""cat"":5,""src"":6,""x"":59,""y"":64},{""cat"":5,""src"":19,""x"":75,""y"":494}]","[{""cat"":""3"",""src"":""7"",""x"":0,""y"":0},{""cat"":""3"",""src"":""4"",""x"":0,""y"":0},{""cat"":""3"",""src"":""15"",""x"":0,""y"":0},{""cat"":""5"",""src"":""6"",""x"":0,""y"":0},{""cat"":""5"",""src"":""5"",""x"":0,""y"":0},{""cat"":""19"",""src"":""12"",""x"":0,""y"":0},{""cat"":""19"",""src"":""19"",""x"":0,""y"":0},{""cat"":""19"",""src"":""13"",""x"":0,""y"":0},{""cat"":""5"",""src"":""19"",""x"":0,""y"":0}]","[{""cat"":3,""src"":7,""loc"":1},{""cat"":3,""src"":4,""loc"":0},{""cat"":3,""src"":15,""loc"":2},{""cat"":5,""src"":6,""loc"":7},{""cat"":5,""src"":5,""loc"":8},{""cat"":19,""src"":12,""loc"":5},{""cat"":19,""src"":19,""loc"":3},{""cat"":19,""src"":13,""loc"":4},{""cat"":5,""src"":19,""loc"":6}]","9","3,3,3,19,19,19,5,5,5,4,7,15,19,13,12,19,6,5,0,1,2,3,4,5,6,7,8,1,0,2,6,7,5,8,3,4",NA
"2093","sort_feedback","74","html-keyboard-response","27","185151","0.0-3.0-15.0","2","2020-1-7 7:19:46","ZEBRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19920","setup2",NA,"animation","28","205072","0.0-3.0-16.0","2","2020-1-7 7:19:46","ZEBRA",NA,NA,"[{""cat"":6,""src"":3,""loc"":7},{""cat"":12,""src"":9,""loc"":6},{""cat"":17,""src"":17,""loc"":8},{""cat"":12,""src"":15,""loc"":4},{""cat"":17,""src"":9,""loc"":3},{""cat"":6,""src"":2,""loc"":5},{""cat"":17,""src"":10,""loc"":2},{""cat"":12,""src"":13,""loc"":0},{""cat"":6,""src"":9,""loc"":1}]","2","1102,1102,1102,1102,1103,1104,1101,1102,1102,10000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"463","flanker_instructions","75","html-keyboard-response","29","205536","0.0-3.0-17.0","2","2020-1-7 7:19:46","ZEBRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","30","207439","0.0-3.0-18.0-0.0","2","2020-1-7 7:19:46","ZEBRA",NA,NA,NA,NA,NA,"incongruent","left","FALSE",NA,NA,NA,NA,NA,NA
