"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","session","startTime","attn_word","button_pressed","view_history","animation_sequence","condition","time_sequence","stim_type","direction","correct","init_locations","moves","final_locations","sort_correct","finalLocations","responses"
"3859","welcome","13","html-keyboard-response","0","3864","0.0-0.0","2","2020-1-7 9:52:20","OTTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6282","consent",NA,"html-button-response","1","10148","0.0-1.0","2","2020-1-7 9:52:20","OTTER","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64442","instructions",NA,"instructions","2","74590","0.0-2.0","2","2020-1-7 9:52:20","OTTER",NA,"[{""page_index"":0,""viewing_time"":6797},{""page_index"":1,""viewing_time"":9452},{""page_index"":2,""viewing_time"":15710},{""page_index"":3,""viewing_time"":12696},{""page_index"":4,""viewing_time"":11193},{""page_index"":5,""viewing_time"":8593}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2541","finalInstructions",NA,"html-button-response","3","77132","0.0-3.0-0.0","2","2020-1-7 9:52:20","OTTER","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19914","setup5",NA,"animation","4","97047","0.0-3.0-1.0","2","2020-1-7 9:52:20","OTTER",NA,NA,"[{""cat"":33,""src"":13,""loc"":2},{""cat"":7,""src"":18,""loc"":3},{""cat"":13,""src"":17,""loc"":6},{""cat"":7,""src"":15,""loc"":7},{""cat"":13,""src"":2,""loc"":0},{""cat"":33,""src"":16,""loc"":4},{""cat"":7,""src"":12,""loc"":1},{""cat"":33,""src"":19,""loc"":8},{""cat"":13,""src"":19,""loc"":5}]","5","1102,1102,1101,1102,1102,1101,1101,1100,1101,10002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4440","flanker_instructions","39","html-keyboard-response","5","101488","0.0-3.0-2.0","2","2020-1-7 9:52:20","OTTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"flanker_test",NA,"image-keyboard-response","6","103391","0.0-3.0-3.0-0.0","2","2020-1-7 9:52:20","OTTER",NA,NA,NA,NA,NA,"congruent","left","FALSE",NA,NA,NA,NA,NA,NA
"173","flanker_test","37","image-keyboard-response","7","103888","0.0-3.0-3.0-0.1","2","2020-1-7 9:52:20","OTTER",NA,NA,NA,NA,NA,"incongruent","left","TRUE",NA,NA,NA,NA,NA,NA
"555","flanker_test","39","image-keyboard-response","8","105136","0.0-3.0-3.0-0.2","2","2020-1-7 9:52:20","OTTER",NA,NA,NA,NA,NA,"incongruent","right","TRUE",NA,NA,NA,NA,NA,NA
"609","flanker_test","39","image-keyboard-response","9","106937","0.0-3.0-3.0-0.3","2","2020-1-7 9:52:20","OTTER",NA,NA,NA,NA,NA,"congruent","right","TRUE",NA,NA,NA,NA,NA,NA
"32551","sort_trial",NA,"free-sort","10","140373","0.0-3.0-4.0","2","2020-1-7 9:52:20","OTTER",NA,NA,NA,NA,NA,NA,NA,NA,"[{""cat"":33,""src"":13,""x"":41,""y"":180},{""cat"":7,""src"":18,""x"":62,""y"":19},{""cat"":13,""src"":17,""x"":73,""y"":326},{""cat"":7,""src"":15,""x"":26,""y"":134},{""cat"":13,""src"":2,""x"":56,""y"":446},{""cat"":33,""src"":16,""x"":6,""y"":491},{""cat"":7,""src"":12,""x"":22,""y"":83},{""cat"":33,""src"":19,""x"":46,""y"":260},{""cat"":13,""src"":19,""x"":52,""y"":361}]","[{""cat"":""7"",""src"":""12"",""x"":0,""y"":0},{""cat"":""33"",""src"":""13"",""x"":0,""y"":0},{""cat"":""13"",""src"":""2"",""x"":0,""y"":0},{""cat"":""7"",""src"":""15"",""x"":0,""y"":0},{""cat"":""33"",""src"":""19"",""x"":0,""y"":0},{""cat"":""13"",""src"":""17"",""x"":0,""y"":0},{""cat"":""33"",""src"":""16"",""x"":0,""y"":0},{""cat"":""7"",""src"":""18"",""x"":0,""y"":0},{""cat"":""13"",""src"":""19"",""x"":0,""y"":0}]","[{""cat"":7,""src"":12,""loc"":1},{""cat"":33,""src"":13,""loc"":2},{""cat"":13,""src"":2,""loc"":0},{""cat"":7,""src"":15,""loc"":7},{""cat"":33,""src"":19,""loc"":6},{""cat"":13,""src"":17,""loc"":8},{""cat"":33,""src"":16,""loc"":3},{""cat"":7,""src"":18,""loc"":4},{""cat"":13,""src"":19,""loc"":5}]","5","13,7,33,33,7,13,33,7,13,2,12,13,16,18,19,19,15,17,0,1,2,3,4,5,6,7,8,2,0,1,6,7,8,4,3,5",NA
"2216","sort_feedback","13","html-keyboard-response","11","142591","0.0-3.0-5.0","2","2020-1-7 9:52:20","OTTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19914","setup1",NA,"animation","12","162506","0.0-3.0-6.0","2","2020-1-7 9:52:20","OTTER",NA,NA,"[{""cat"":10,""src"":16,""loc"":7},{""cat"":10,""src"":18,""loc"":8},{""cat"":10,""src"":0,""loc"":6},{""cat"":3,""src"":4,""loc"":0},{""cat"":3,""src"":17,""loc"":2},{""cat"":3,""src"":2,""loc"":1},{""cat"":30,""src"":3,""loc"":5},{""cat"":30,""src"":14,""loc"":3},{""cat"":30,""src"":9,""loc"":4}]","1","1101,1102,1100,1103,1101,1101,1101,1102,1102,10001",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1733","flanker_instructions","39","html-keyboard-response","13","164239","0.0-3.0-7.0","2","2020-1-7 9:52:20","OTTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"509","flanker_test","39","image-keyboard-response","14","165751","0.0-3.0-8.0-0.0","2","2020-1-7 9:52:20","OTTER",NA,NA,NA,NA,NA,"incongruent","left","FALSE",NA,NA,NA,NA,NA,NA
"428","flanker_test","37","image-keyboard-response","15","167055","0.0-3.0-8.0-0.1","2","2020-1-7 9:52:20","OTTER",NA,NA,NA,NA,NA,"congruent","left","TRUE",NA,NA,NA,NA,NA,NA
"585","flanker_test","39","image-keyboard-response","16","168175","0.0-3.0-8.0-0.2","2","2020-1-7 9:52:20","OTTER",NA,NA,NA,NA,NA,"congruent","right","TRUE",NA,NA,NA,NA,NA,NA
"716","flanker_test","39","image-keyboard-response","17","169710","0.0-3.0-8.0-0.3","2","2020-1-7 9:52:20","OTTER",NA,NA,NA,NA,NA,"incongruent","right","TRUE",NA,NA,NA,NA,NA,NA
"30227","sort_trial",NA,"free-sort","18","200496","0.0-3.0-9.0","2","2020-1-7 9:52:20","OTTER",NA,NA,NA,NA,NA,NA,NA,NA,"[{""cat"":10,""src"":16,""x"":5,""y"":304},{""cat"":10,""src"":18,""x"":48,""y"":243},{""cat"":10,""src"":0,""x"":81,""y"":88},{""cat"":3,""src"":4,""x"":37,""y"":507},{""cat"":3,""src"":17,""x"":7,""y"":143},{""cat"":3,""src"":2,""x"":42,""y"":22},{""cat"":30,""src"":3,""x"":37,""y"":205},{""cat"":30,""src"":14,""x"":14,""y"":361},{""cat"":30,""src"":9,""x"":71,""y"":444}]","[{""cat"":""30"",""src"":""3"",""x"":0,""y"":0},{""cat"":""30"",""src"":""9"",""x"":0,""y"":0},{""cat"":""30"",""src"":""14"",""x"":0,""y"":0},{""cat"":""3"",""src"":""2"",""x"":0,""y"":0},{""cat"":""10"",""src"":""0"",""x"":0,""y"":0},{""cat"":""3"",""src"":""17"",""x"":0,""y"":0},{""cat"":""3"",""src"":""4"",""x"":0,""y"":0},{""cat"":""10"",""src"":""16"",""x"":0,""y"":0},{""cat"":""10"",""src"":""18"",""x"":0,""y"":0}]","[{""cat"":30,""src"":3,""loc"":5},{""cat"":30,""src"":9,""loc"":4},{""cat"":30,""src"":14,""loc"":3},{""cat"":3,""src"":2,""loc"":1},{""cat"":10,""src"":0,""loc"":0},{""cat"":3,""src"":17,""loc"":2},{""cat"":3,""src"":4,""loc"":6},{""cat"":10,""src"":16,""loc"":7},{""cat"":10,""src"":18,""loc"":8}]","7","10,3,3,30,30,30,3,10,10,0,2,17,14,9,3,4,16,18,0,1,2,3,4,5,6,7,8,4,3,5,2,1,0,6,7,8",NA
